date,link
11/9/2013,/events/ufc-fight-night-32-belfort-vs-henderson-725
11/6/2013,/events/ufc-fight-night-31-fight-for-the-troops-iii-726
10/26/2013,/events/ufc-fight-night-30-machida-vs-munoz-712
10/19/2013,/events/ufc-166-velasquez-vs-dos-santos-iii-698
10/9/2013,/events/ufc-fight-night-29-maia-vs-shields-713
9/21/2013,/events/ufc-165-jones-vs-gustafsson-697
9/4/2013,/events/ufc-fight-night-28-teixeira-vs-bader-705
8/31/2013,/events/ufc-164-henderson-vs-pettis-ii-691
8/28/2013,/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
8/17/2013,/events/ufc-fight-night-26-shogun-vs-sonnen-685
8/3/2013,/events/ufc-163-aldo-vs-jung-683
7/27/2013,/events/ufc-on-fox-8-johnson-vs-moraga-674
7/6/2013,/events/ufc-162-silva-vs-weidman-661
6/15/2013,/events/ufc-161-evans-vs-henderson-660
6/8/2013,/events/ufc-on-fuel-tv-10-nogueira-vs-werdum-2-668
5/25/2013,/events/ufc-160-velasquez-vs-silva-ii-647
5/18/2013,/events/ufc-on-fx-8-belfort-vs-rockhold-648
4/27/2013,/events/ufc-159-jones-vs-sonnen-633
4/20/2013,/events/ufc-on-fox-7-henderson-vs-melendez-634
4/13/2013,/events/ufc-the-ultimate-fighter-17-finale-656
4/6/2013,/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
3/16/2013,/events/ufc-158-st-pierre-vs-diaz-627
3/2/2013,/events/ufc-on-fuel-tv-8-silva-vs-stann-625
2/23/2013,/events/ufc-157-rousey-vs-carmouche-618
2/16/2013,/events/ufc-on-fuel-tv-7-barao-vs-mcdonald-632
2/2/2013,/events/ufc-156-aldo-vs-edgar-611
1/26/2013,/events/ufc-on-fox-6-johnson-vs-dodson-613
1/19/2013,/events/ufc-on-fx-7-belfort-vs-bisping-612
12/29/2012,/events/ufc-155-dos-santos-vs-velasquez-ii-585
12/15/2012,/events/ufc-the-ultimate-fighter-16-finale-602
12/14/2012,/events/ufc-on-fx-6-sotiropoulos-vs-pearson-594
12/8/2012,/events/ufc-on-fox-5-henderson-vs-diaz-584
11/17/2012,/events/ufc-154-st-pierre-vs-condit-565
11/10/2012,/events/ufc-on-fuel-tv-6-franklin-vs-le-582
10/13/2012,/events/ufc-153-silva-vs-bonnar-571
10/5/2012,/events/ufc-on-fx-5-browne-vs-bigfoot-579
9/29/2012,/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
9/22/2012,/events/ufc-152-jones-vs-belfort-561
8/11/2012,/events/ufc-150-henderson-vs-edgar-ii-547
8/4/2012,/events/ufc-on-fox-4-shogun-vs-vera-546
7/21/2012,/events/ufc-149-faber-vs-barao-527
7/11/2012,/events/ufc-on-fuel-tv-4-munoz-vs-weidman-545
7/7/2012,/events/ufc-148-silva-vs-sonnen-2-506
6/23/2012,/events/ufc-147-silva-vs-franklin-ii-517
6/22/2012,/events/ufc-on-fx-4-guida-vs-maynard-521
6/8/2012,/events/ufc-on-fx-3-johnson-vs-mccall-522
6/1/2012,/events/ufc-the-ultimate-fighter-15-finale-524
5/26/2012,/events/ufc-146-dos-santos-vs-mir-502
5/15/2012,/events/ufc-on-fuel-tv-3-korean-zombie-vs-poirier-499
5/5/2012,/events/ufc-on-fox-3-diaz-vs-miller-496
4/21/2012,/events/ufc-145-jones-vs-evans-490
4/14/2012,/events/ufc-on-fuel-tv-2-gustafsson-vs-silva-493
3/2/2012,/events/ufc-on-fx-2-alves-vs-kampmann-487
2/25/2012,/events/ufc-144-edgar-vs-henderson-477
2/15/2012,/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
2/4/2012,/events/ufc-143-condit-vs-diaz-478
1/28/2012,/events/ufc-on-fox-2-482
1/20/2012,/events/ufc-on-fx-1-guillard-vs-miller-479
1/14/2012,/events/ufc-142-aldo-vs-mendes-474
12/30/2011,/events/ufc-141-lesnar-vs-overeem-452
12/10/2011,/events/ufc-140-jones-vs-machida-451
12/3/2011,/events/ufc-the-ultimate-fighter-14-finale-469
11/19/2011,/events/ufc-139-shogun-vs-henderson-424
11/12/2011,/events/ufc-on-fox-1-velasquez-vs-dos-santos-442
11/5/2011,/events/ufc-138-leben-vs-munoz-430
10/29/2011,/events/ufc-137-penn-vs-diaz-410
10/8/2011,/events/ufc-136-edgar-vs-maynard-3-423
10/1/2011,/events/ufc-on-versus-6-cruz-vs-johnson-429
9/24/2011,/events/ufc-135-jones-vs-rampage-417
9/17/2011,/events/ufc-fight-night-25-battle-on-the-bayou-406
8/27/2011,/events/ufc-134-silva-vs-okami-389
8/14/2011,/events/ufc-on-versus-5-hardy-vs-lytle-399
8/6/2011,/events/ufc-133-evans-vs-ortiz-2-390
7/2/2011,/events/ufc-132-cruz-vs-faber-381
6/26/2011,/events/ufc-on-versus-4-379
6/11/2011,/events/ufc-131-carwin-vs-dos-santos-358
6/4/2011,/events/ufc-the-ultimate-fighter-13-finale-362
5/28/2011,/events/ufc-130-rampage-vs-hamill-357
4/30/2011,/events/ufc-129-st-pierre-vs-shields-352
3/26/2011,/events/ufc-fight-night-24-nogueira-vs-davis-354
3/19/2011,/events/ufc-128-shogun-vs-jones-346
3/3/2011,/events/ufc-on-versus-3-sanchez-vs-kampmann-351
2/26/2011,/events/ufc-127-penn-vs-fitch-344
