R_fighter,B_fighter,date,R_kd_bout,B_kd_bout,R_sig_str_landed_bout,B_sig_str_landed_bout,R_sig_str_attempted_bout,B_sig_str_attempted_bout,R_sig_str_pct_bout,B_sig_str_pct_bout,R_tot_str_landed_bout,B_tot_str_landed_bout,R_tot_str_attempted_bout,B_tot_str_attempted_bout,R_td_landed_bout,B_td_landed_bout,R_td_attempted_bout,B_td_attempted_bout,R_td_pct_bout,B_td_pct_bout,R_sub_attempts_bout,B_sub_attempts_bout,R_pass_bout,B_pass_bout,R_rev_bout,B_rev_bout
Hyun Gyu Lim,Mike Perry,8/20/2016,0,3,8,31,29,50,.27,.62,8,50,29,69,0,0,0,0,.0,.0,0,0,0,3,0,0
Urijah Faber,Jimmie Rivera,9/10/2016,0,0,22,54,112,160,.19,.33,23,55,113,162,0,0,4,0,.0,.0,0,0,0,0,0,0
Stefan Struve,Daniel Omielanczuk,10/ 8/2016,0,0,9,14,23,30,.39,.46,12,21,26,39,2,0,4,1,.50,.0,1,0,4,0,0,0
Miesha Tate,Raquel Pennington,11/12/2016,0,0,21,43,65,77,.32,.55,48,111,93,156,1,1,5,1,.20,1,0,3,0,1,0,0
Tim Kennedy,Kelvin Gastelum,12/10/2016,0,1,45,62,108,110,.41,.56,51,68,115,116,3,0,8,0,.37,.0,0,0,1,0,0,1
Dong Hyun Kim,Tarec Saffiedine,12/30/2016,0,0,36,52,107,105,.33,.49,64,68,138,122,3,2,8,6,.37,.33,0,0,0,0,0,0
Glover Teixeira,Jared Cannonier,2/11/2017,0,0,24,21,53,46,.45,.45,113,40,179,66,3,0,3,0,1,.0,1,0,11,0,0,0
Amanda Cooper,Cynthia Calvillo,3/ 4/2017,0,0,7,13,28,26,.25,.50,8,15,29,29,0,1,1,1,.0,1,0,3,0,2,0,0
Paul Jones,Flavio Luiz Moura,7/16/1999,0,1,21,1,35,2,.60,.50,60,15,74,18,0,0,0,0,.0,.0,2,0,2,1,1,0
Thiago Alves,Patrick Cote,4/ 8/2017,2,0,79,44,157,131,.50,.33,103,51,182,140,1,0,1,1,1,.0,0,0,3,0,0,0
Frankie Edgar,Yair Rodriguez,5/13/2017,0,0,72,16,103,42,.69,.38,96,29,130,57,1,0,3,0,.33,.0,0,1,1,0,0,0
Paulo Costa,Oluwale Bamgbose,6/ 3/2017,0,0,43,33,80,62,.53,.53,50,40,88,69,0,2,1,5,.0,.40,0,0,0,1,0,0
Anthony Pettis,Jim Miller,7/ 8/2017,0,0,80,48,121,110,.66,.43,107,51,150,113,1,1,2,4,.50,.25,0,0,5,1,0,0
Jimi Manuwa,Volkan Oezdemir,7/29/2017,0,0,2,12,4,19,.50,.63,2,13,4,20,0,0,0,0,.0,.0,0,0,0,0,0,0
Ilir Latifi,Tyson Pedro,9/ 9/2017,0,0,44,31,79,54,.55,.57,59,44,94,68,4,0,5,0,.80,.0,0,0,4,0,0,0
Mara Romero Borella,Kalindra Faria,10/ 7/2017,0,0,3,0,5,4,.60,.0,16,0,18,4,1,0,1,0,1,.0,1,0,3,0,0,0
Stephen Thompson,Jorge Masvidal,11/ 4/2017,1,0,70,42,156,142,.44,.29,70,42,156,142,0,0,0,2,.0,.0,0,0,0,0,0,0
Eddie Alvarez,Justin Gaethje,12/ 2/2017,1,0,155,122,356,237,.43,.51,162,124,366,240,1,0,2,1,.50,.0,0,0,0,0,0,0
Cynthia Calvillo,Carla Esparza,12/30/2017,0,0,38,48,112,138,.33,.34,57,62,131,153,1,2,3,9,.33,.22,0,1,2,0,0,1
Chuck Liddell,Paul Jones,9/24/1999,0,0,13,5,28,7,.46,.71,19,6,34,8,0,0,0,5,.0,.0,0,0,0,0,0,0
Gian Villante,Francimar Barroso,1/20/2018,0,0,74,74,209,128,.35,.57,74,74,209,128,0,0,0,0,.0,.0,0,0,0,0,0,0
Jake Matthews,Jingliang Li,2/10/2018,2,0,63,49,127,152,.49,.32,89,56,156,163,2,0,4,1,.50,.0,1,0,4,0,0,1
Stefan Struve,Andrei Arlovski,3/ 3/2018,0,0,34,46,74,88,.45,.52,37,76,78,121,0,4,3,9,.0,.44,0,0,0,2,1,1
Zabit Magomedsharipov,Kyle Bochniak,4/ 7/2018,0,0,97,43,217,163,.44,.26,114,44,237,164,5,0,11,2,.45,.0,0,0,1,0,0,0
John Lineker,Brian Kelleher,5/12/2018,2,0,102,50,233,137,.43,.36,113,58,244,147,0,1,0,6,.0,.16,1,0,0,0,0,0
Andrei Arlovski,Tai Tuivasa,6/ 9/2018,0,1,51,54,125,120,.40,.45,52,54,126,120,0,0,2,0,.0,.0,0,0,0,1,0,0
Michael Chiesa,Anthony Pettis,7/ 7/2018,0,0,12,9,26,22,.46,.40,19,13,35,26,2,0,6,0,.33,.0,0,2,1,0,0,0
Polyana Viana,JJ Aldrich,8/ 4/2018,0,0,46,40,129,83,.35,.48,86,50,175,96,1,0,5,1,.20,.0,0,0,1,1,0,0
Jimmie Rivera,John Dodson,9/ 8/2018,0,0,62,41,125,117,.49,.35,63,41,126,117,0,0,3,1,.0,.0,0,0,0,0,0,0
Derrick Lewis,Alexander Volkov,10/ 6/2018,1,0,39,121,70,171,.55,.70,40,133,71,183,0,1,2,2,.0,.50,0,0,0,3,1,0
Joe Slick,Jason DeLucia,11/19/1999,0,0,2,1,2,1,1,1,2,1,2,1,1,0,2,0,.50,.0,0,0,1,0,0,0
Karl Roberson,Jack Marshman,11/ 3/2018,0,0,34,21,71,98,.47,.21,90,30,135,108,2,0,3,0,.66,.0,0,0,3,0,0,0
Hakeem Dawodu,Kyle Bochniak,12/ 8/2018,0,0,103,42,212,109,.48,.38,103,47,212,114,0,2,0,12,.0,.16,0,0,0,1,0,0
Ilir Latifi,Corey Anderson,12/29/2018,0,0,33,40,78,121,.42,.33,34,45,79,127,0,0,4,4,.0,.0,0,0,0,0,0,0
Montana De La Rosa,Nadia Kassem,2/ 9/2019,0,0,21,5,35,7,.60,.71,79,15,101,20,2,0,3,0,.66,.0,3,0,7,0,0,0
Tecia Torres,Weili Zhang,3/ 2/2019,0,0,30,63,62,142,.48,.44,33,118,65,204,0,2,1,8,.0,.25,0,0,0,4,0,1
Alan Jouban,Dwight Grant,4/13/2019,0,0,24,38,100,122,.24,.31,25,39,101,123,1,0,2,0,.50,.0,0,0,1,0,0,0
Thiago Alves,Laureano Staropoli,5/11/2019,0,0,58,54,147,202,.39,.26,59,57,148,205,1,1,3,1,.33,1,0,0,0,0,0,0
Jimmie Rivera,Petr Yan,6/ 8/2019,0,2,73,56,192,189,.38,.29,76,58,195,192,0,1,3,3,.0,.33,0,0,0,1,0,0
Jan Blachowicz,Luke Rockhold,7/ 6/2019,1,0,30,14,42,36,.71,.38,38,17,50,39,0,0,0,5,.0,.0,0,0,0,0,0,0
Bob Cook,Tiki Ghosn,3/10/2000,0,0,22,24,47,63,.46,.38,53,26,78,65,1,0,5,0,.20,.0,2,0,3,0,0,0
Olivier Aubin-Mercier,Arman Tsarukyan,7/27/2019,0,0,23,47,48,105,.47,.44,36,110,61,174,0,2,3,11,.0,.18,0,0,0,0,0,0
