R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs
Sara McMann,Alexis Davis,-155,135,64.51612903,135,12/3/2016,"Las Vegas, Nevada, USA", USA,Red,FALSE,Women's Bantamweight,FEMALE,3,0,1,0,36.6,0.404,0.8,0.8,0.398,3,1,12,1,0,1,2,0,1,0,4,Orthodox,167.64,172.72,125,0,1,0,19.5,0.478333333,0.166666667,1.666666667,0.408333333,1,3,12,1,0,1,1,1,0,0,3,Orthodox,167.64,167.64,135,36,32,0,0,2,1,2,0,0,-1,1,0,5.08,4,17.1,0.633333333,-0.866666667,0,1,,7,,,,7,,,,,,,,,,,,,,,,,,,,,,,Red,SUB,Arm Triangle,2,2:52,472
Brandon Moreno,Ryan Benoit,-190,165,52.63157895,165,12/3/2016,"Las Vegas, Nevada, USA", USA,Red,FALSE,Flyweight,MALE,3,0,1,0,19.5,0.32,0.25,0.25,0.25,1,2,8,0,0,1,0,1,0,0,2,Orthodox,165.1,172.72,125,0,1,0,8,0.72,2,1,1,1,0,1,0,0,0,0,0,1,0,1,Orthodox,170.18,177.8,125,22,27,0,0,0,1,-2,7,0,1,-1,-5.08,-5.08,-5,11.5,-1.75,-0.75,0,1,,12,,,,,,,,,,,,12,,,,,,,,,,,,,,,Red,S-DEC,,3,5:00,900
Gray Maynard,Ryan Hall,145,-165,145,60.60606061,12/3/2016,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Featherweight,MALE,3,0,1,0,23,0.56,1,1,0.33,1,0,3,1,0,0,1,0,0,0,1,Southpaw,177.8,180.34,155,0,1,0,26.58823529,0.368235294,0.588235294,2.294117647,0.444117647,8,7,48,2,0,3,6,1,0,0,10,Orthodox,175.26,177.8,155,37,31,0,0,-7,-9,7,-45,-1,-1,0,2.54,2.54,6,-3.58823529,0.411764706,-1.294117647,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900
Rob Font,Matt Schnell,-270,230,37.03703704,230,12/3/2016,"Las Vegas, Nevada, USA", USA,Red,FALSE,Bantamweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,177.8,135,1,0,0,34.66666667,0.446666667,0,0.333333333,0.066666667,2,1,6,0,0,0,0,2,0,0,2,Orthodox,172.72,180.34,135,29,26,1,0,-2,-2,1,-6,0,-2,0,0,-2.54,3,-34.66666667,0,-0.333333333,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,3:47,227
Dong Hyun Ma,Brendan O'Reilly,-150,130,66.66666667,130,12/3/2016,"Las Vegas, Nevada, USA", USA,Red,FALSE,Lightweight,MALE,3,1,0,0,21.66666667,0.42,0.333333333,2.333333333,0.533333333,1,2,7,0,0,0,1,0,0,0,1,Orthodox,170.18,175.26,170,2,0,0,51,0.435,0,1,0.33,0,2,6,0,0,0,0,0,0,0,0,Orthodox,180.34,177.8,155,28,29,1,0,1,1,0,1,0,0,0,-10.16,-2.54,-1,-29.33333333,0.333333333,1.333333333,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900
Kailin Curran,Jamie Moyle,-120,100,83.33333333,100,12/3/2016,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Women's Strawweight,FEMALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,154.94,165.1,115,1,0,0,33.75,0.425,0.5,2,0.625,1,3,9,0,0,0,0,0,1,0,1,Orthodox,162.56,165.1,115,25,27,1,0,-1,-1,3,-9,0,0,-1,-7.62,0,-2,-33.75,-0.5,-2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900
Elvis Mutapcic,Anthony Smith,-105,-115,95.23809524,86.95652174,12/3/2016,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Middleweight,MALE,3,1,0,0,31.66666667,0.446666667,0.333333333,0.666666667,0.133333333,1,2,7,0,0,0,1,0,0,0,1,Orthodox,193.04,193.04,205,2,0,0,51,0.415,0,0,0,0,2,6,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,185,30,28,1,0,1,1,0,1,0,0,0,10.16,10.16,2,-19.33333333,0.333333333,0.666666667,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Elbow,2,3:27,507
Josh Stansbury,Devin Clark,-105,-115,95.23809524,86.95652174,12/3/2016,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Light Heavyweight,MALE,3,1,0,0,14,0.7,1,1,1,0,1,1,0,0,0,0,0,0,0,0,Orthodox,182.88,190.5,205,0,1,0,61,0.57,0,0,0,1,0,3,0,1,0,0,0,0,0,1,Orthodox,187.96,187.96,205,32,26,-1,-1,-1,-1,-1,-2,0,0,0,-5.08,2.54,6,-47,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900
Robert Whittaker,Derek Brunson,100,-120,100,83.33333333,11/26/2016,"Melbourne, Victoria, Australia", Australia,Red,FALSE,Middleweight,MALE,5,0,5,0,19.625,0.48,0.375,1.375,0.15375,5,1,14,0,0,0,2,4,1,0,7,Southpaw,185.42,195.58,185,0,5,0,53.77777778,0.434444444,0,0.444444444,0.333333333,5,2,22,1,0,0,4,3,0,0,7,Orthodox,182.88,185.42,185,25,32,0,0,0,0,1,-8,-1,1,1,2.54,10.16,-7,-34.15277778,0.375,0.930555556,0,1,8,7,,,,,,,7,,,,,,,,,,,,,8,,,,,,,Red,KO/TKO,Kick,1,4:07,247
Jake Matthews,Andrew Holbrook,-550,425,18.18181818,425,11/26/2016,"Melbourne, Victoria, Australia", Australia,Blue,FALSE,Lightweight,MALE,3,1,0,0,11,0.585,1,0,0,1,1,4,0,0,1,0,0,0,0,1,Southpaw,180.34,177.8,155,1,0,0,32.16666667,0.428333333,0.666666667,1.166666667,0.281666667,2,2,12,0,0,0,0,0,3,1,4,Orthodox,180.34,185.42,170,22,30,0,0,-1,-3,1,-8,0,-1,-3,0,-7.62,-8,-21.16666667,0.333333333,-1.166666667,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900
Kyle Noke,Omari Akhmedov,-110,-110,90.90909091,90.90909091,11/26/2016,"Melbourne, Victoria, Australia", Australia,Blue,FALSE,Welterweight,MALE,3,2,0,0,28.33333333,0.401666667,0.333333333,1.666666667,0.361666667,2,3,12,0,0,0,1,2,0,0,3,Orthodox,182.88,185.42,185,2,0,0,31,0.55,0.363636364,1,0.348181818,3,5,22,0,0,1,0,3,2,0,6,Southpaw,185.42,193.04,170,36,29,0,0,-1,-3,2,-10,0,-1,-2,-2.54,-7.62,7,-2.66666667,-0.030303031,0.666666667,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900
Yusuke Kasuya,Alexander Volkanovski,135,-155,135,64.51612903,11/26/2016,"Melbourne, Victoria, Australia", Australia,Blue,FALSE,Lightweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,180.34,145,1,0,0,44,0.44,0,1,0.25,0,1,3,0,0,0,0,0,0,0,0,Southpaw,170.18,170.18,155,27,28,1,0,0,0,1,-3,0,0,0,-2.54,10.16,-1,-44,0,-1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,2,2:06,426
Khalil Rountree Jr.,Tyson Pedro,-105,-115,95.23809524,86.95652174,11/26/2016,"Melbourne, Victoria, Australia", Australia,Blue,FALSE,Light Heavyweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,190.5,200.66,205,1,0,0,14,0.51,0,0,0,0,1,3,1,0,0,0,0,0,0,0,Southpaw,185.42,193.04,205,26,25,1,0,0,0,1,-3,-1,0,0,5.08,7.62,1,-14,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,1,4:07,247
Seohee Ham,Danielle Taylor,-110,-110,90.90909091,90.90909091,11/26/2016,"Melbourne, Victoria, Australia", Australia,Blue,FALSE,Women's Strawweight,FEMALE,3,1,0,0,17,0.16,0,1,1,0,1,3,0,0,0,0,0,0,0,0,Orthodox,152.4,152.4,115,1,0,0,73.66666667,0.43,0.333333333,0,0,1,2,9,0,0,0,1,0,0,0,1,Southpaw,157.48,157.48,115,29,27,0,0,-1,-1,1,-6,0,0,0,-5.08,-5.08,2,-56.66666667,-0.333333333,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,
Daniel Kelly,Chris Camozzi,165,-190,165,52.63157895,11/26/2016,"Melbourne, Victoria, Australia", Australia,Red,FALSE,Middleweight,MALE,3,1,0,0,43.17647059,0.487647059,0.352941176,0.235294118,0.102941176,4,8,43,0,0,2,4,1,1,1,9,Orthodox,187.96,193.04,185,0,2,0,37.6,0.406,0.2,1.2,0.176,2,1,11,0,0,0,2,1,1,0,4,Southpaw,182.88,177.8,185,39,30,-1,-2,2,5,-7,32,0,1,0,5.08,15.24,9,5.57647059,0.152941176,-0.964705882,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900
Damien Brown,Jon Tuck,130,-150,130,66.66666667,11/26/2016,"Melbourne, Victoria, Australia", Australia,Red,FALSE,Lightweight,MALE,3,1,0,0,40.83333333,0.403333333,0.833333333,0.5,0.1,1,3,16,0,0,0,1,1,1,0,3,Orthodox,180.34,185.42,155,0,1,0,18.5,0.56,0.5,0.5,0.165,1,1,4,0,0,0,0,1,0,0,1,Orthodox,177.8,172.72,155,31,32,-1,-1,0,2,-2,12,0,0,1,2.54,12.7,-1,22.33333333,0.333333333,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900
Richard Walsh,Jonathan Meunier,-135,115,74.07407407,115,11/26/2016,"Melbourne, Victoria, Australia", Australia,Blue,FALSE,Welterweight,MALE,3,1,0,0,16,0.69,0,0,0,0,1,3,0,0,0,0,0,0,0,0,Switch,190.5,190.5,170,1,0,0,55.8,0.506,0,1.2,0.176,1,3,13,0,0,0,2,0,0,0,2,Orthodox,182.88,185.42,170,27,29,0,0,-1,-2,2,-10,0,0,0,7.62,5.08,-2,-39.8,0,-1.2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900
Ben Nguyen,Geane Herrera,-140,120,71.42857143,120,11/26/2016,"Melbourne, Victoria, Australia", Australia,Red,FALSE,Flyweight,MALE,3,1,0,0,20,0.46,0.666666667,0.666666667,0.5,1,2,8,0,0,0,0,1,0,0,1,Orthodox,165.1,167.64,125,1,0,0,14,0.52,1,0,0,2,1,4,0,0,0,0,1,1,0,2,Switch,165.1,165.1,125,28,26,0,0,-1,-1,-1,4,0,0,-1,0,2.54,2,6,-0.333333333,0.666666667,0,1,,15,,,,,,,,,,,,15,,,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900
Dan Hooker,Jason Knight,-145,125,68.96551724,125,11/26/2016,"Melbourne, Victoria, Australia", Australia,Blue,FALSE,Featherweight,MALE,3,0,1,0,52,0.495,0.5,0.5,0.25,1,1,6,0,0,1,0,0,0,0,1,Orthodox,177.8,180.34,145,0,1,0,31.2,0.44,0.2,0.2,0.066,1,2,10,0,0,0,0,2,1,0,3,Switch,182.88,190.5,155,26,24,0,0,0,-2,1,-4,0,-2,-1,-5.08,-10.16,2,20.8,0.3,0.3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900
Marlon Vera,Ning Guangyou,-110,-110,90.90909091,90.90909091,11/26/2016,"Melbourne, Victoria, Australia", Australia,Red,FALSE,Featherweight,MALE,3,1,0,0,33.33333333,0.403333333,0.333333333,1.333333333,0.553333333,2,1,8,1,0,0,1,1,0,0,2,Southpaw,162.56,162.56,145,1,0,0,24.33333333,0.433333333,1.333333333,0.666666667,0.386666667,1,2,8,0,0,0,0,0,1,0,1,Switch,172.72,177.8,135,23,34,0,0,1,1,1,0,1,1,-1,-10.16,-15.24,-11,9,-1,0.666666666,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,
Yao Zhikui,Jenel Lausa,115,-135,115,74.07407407,11/26/2016,"Melbourne, Victoria, Australia", Australia,Blue,FALSE,Flyweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,172.72,125,1,0,0,12.33333333,0.213333333,0,0.333333333,0.053333333,1,2,7,0,0,1,0,0,0,0,1,Orthodox,165.1,162.56,125,25,28,1,0,-1,-1,2,-7,0,0,0,0,10.16,-3,-12.33333333,0,-0.333333333,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900
Ryan Bader,Rogerio Nogueira,-340,280,29.41176471,280,11/19/2016,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,FALSE,Light Heavyweight,MALE,5,0,1,0,28.88888889,0.326666667,0.222222222,0.111111111,0.111111111,2,4,19,0,0,1,1,3,0,0,5,Southpaw,187.96,190.5,205,0,1,0,25.84210526,0.371578947,0.263157895,2.157894737,0.256842105,5,5,44,1,0,1,8,4,1,0,14,Orthodox,187.96,187.96,205,33,40,0,0,-3,-9,1,-25,-1,-1,-1,0,2.54,-7,3.04678363,-0.040935673,-2.046783626,0,1,9,4,,,,,,4,,,,,,,,,,,,,9,,,,,,,,Red,KO/TKO,Punches,3,3:51,831
Thomas Almeida,Albert Morales,-300,250,33.33333333,250,11/19/2016,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,FALSE,Bantamweight,MALE,3,1,0,0,79,0.34,0,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,175.26,182.88,135,1,0,0,41.8,0.454,0,0,0,4,1,8,0,0,0,1,3,0,0,4,Southpaw,170.18,177.8,135,25,25,0,0,-4,-4,0,-5,0,-3,0,5.08,5.08,0,37.2,0,0,0,1,,11,,,,,,,,,,,11,,,,,,,,,,,,,,,,Red,KO/TKO,Punches,2,1:37,397
Claudia Gadelha,Cortney Casey,-460,365,21.73913043,365,11/19/2016,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,FALSE,Women's Strawweight,FEMALE,3,0,2,0,43.75,0.55,0.25,0.5,0.25,2,2,8,0,0,0,0,1,1,0,2,Orthodox,170.18,170.18,115,1,0,0,67.75,0.415,0.75,5,0.64,1,2,14,1,0,0,2,0,0,0,2,Orthodox,162.56,160.02,115,27,29,1,2,1,0,0,-6,-1,1,1,7.62,10.16,-2,-24,-0.5,-4.5,0,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900
Thales Leites,Krzysztof Jotko,-135,115,74.07407407,115,11/19/2016,"Sao Paulo, Sao Paulo, Brazil", Brazil,Blue,FALSE,Middleweight,MALE,3,0,4,0,34.5,0.47,0,1,0.318333333,4,1,15,0,0,1,3,1,0,0,5,Southpaw,185.42,195.58,185,0,1,0,25.5625,0.408125,1,1.875,0.305,5,5,42,1,0,1,3,2,5,0,11,Orthodox,185.42,198.12,185,35,27,0,3,-1,-6,4,-27,-1,-1,-5,0,-2.54,8,8.9375,-1,-0.875,0,1,15,11,,,,,,,11,,,,,,,,,,,,,15,,,,,,,Red,U-DEC,,3,5:00,900
Warlley Alves,Kamaru Usman,175,-210,175,47.61904762,11/19/2016,"Sao Paulo, Sao Paulo, Brazil", Brazil,Blue,FALSE,Welterweight,MALE,3,0,3,0,34.66666667,0.593333333,0.333333333,5.666666667,0.586666667,3,0,8,1,0,0,2,0,1,0,3,Switch,182.88,193.04,170,1,0,0,32.8,0.488,1,1,0.464,4,1,12,1,0,0,1,0,3,0,4,Orthodox,180.34,182.88,170,25,29,1,3,-1,-1,1,-4,0,0,-2,2.54,10.16,-4,1.86666667,-0.666666667,4.666666667,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900
Sergio Moraes,Zak Ottow,-150,130,66.66666667,130,11/19/2016,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,FALSE,Welterweight,MALE,3,0,1,0,65,0.43,1,0,0,1,0,3,0,0,1,0,0,0,0,1,Orthodox,180.34,182.88,170,1,0,0,27.83333333,0.491666667,0.5,1.166666667,0.336666667,4,2,16,1,0,0,1,1,2,0,4,Orthodox,182.88,182.88,170,34,29,1,1,-3,-3,2,-13,-1,-1,-2,-2.54,0,5,37.16666667,0.5,-1.166666667,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900
Cezar Ferreira,Jack Hermansson,110,-130,110,76.92307692,11/19/2016,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,FALSE,Middleweight,MALE,3,0,1,0,88,0.56,0,1,0.16,1,0,3,0,0,0,1,0,0,0,1,Orthodox,185.42,195.58,185,0,2,0,17.66666667,0.414444444,0.111111111,1.666666667,0.353333333,3,3,19,1,0,1,4,0,1,0,6,Southpaw,185.42,198.12,185,31,28,0,-1,-2,-5,3,-16,-1,0,-1,0,-2.54,3,70.33333333,-0.111111111,-0.666666667,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Arm Triangle,2,2:11,431
Marcos Rogerio de Lima,Gadzhimurad Antigulov,-165,145,60.60606061,145,11/19/2016,"Sao Paulo, Sao Paulo, Brazil", Brazil,Blue,FALSE,Light Heavyweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,177.8,205,0,1,0,14.75,0.6875,0.75,0,0,2,1,4,0,0,0,0,2,1,0,3,Orthodox,185.42,190.5,253,31,29,0,-1,-2,-3,1,-4,0,-2,-1,-5.08,-12.7,2,-14.75,-0.75,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Guillotine Choke,1,1:07,67
Johnny Eduardo,Manvel Gamburyan,-140,120,71.42857143,120,11/19/2016,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,FALSE,Bantamweight,MALE,3,1,0,0,19.35714286,0.435,0.571428571,2.142857143,0.333571429,2,8,32,1,0,0,3,0,3,0,6,Orthodox,165.1,170.18,135,1,0,0,23.5,0.34,0.25,0,0,2,2,9,0,0,0,1,1,0,0,2,Orthodox,170.18,180.34,135,38,35,0,0,0,4,-6,23,1,-1,3,-5.08,-10.16,3,-4.14285714,0.321428571,2.142857143,0,1,,13,,,,,,,,,,,13,,,,,,,,,,,,,,,,Red,KO/TKO,Punch,2,0:46,346
Luis Henrique,Christian Colombo,-290,245,34.48275862,245,11/19/2016,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,FALSE,Heavyweight,MALE,3,1,0,0,76,0.47,0,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,195.58,203.2,265,0,1,0,12.5,0.48,0.5,1,0.15,1,1,4,0,0,0,0,0,1,0,1,Orthodox,187.96,187.96,243,23,36,-1,-1,-1,-1,0,-1,0,0,-1,7.62,15.24,-13,63.5,-0.5,-1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Guillotine Choke,3,2:12,732
Pedro Munhoz,Justin Scoggins,135,-155,135,64.51612903,11/19/2016,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,FALSE,Bantamweight,MALE,3,0,2,0,41,0.606666667,0.5,3.5,0.673333333,2,2,15,0,0,0,3,1,0,0,4,Southpaw,170.18,167.64,125,0,1,0,27.8,0.56,0.8,0.6,0.3,1,3,9,0,0,0,0,1,1,0,2,Orthodox,167.64,165.1,135,30,24,0,1,1,2,1,6,0,0,-1,2.54,2.54,6,13.2,-0.3,2.9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,neither,SUB,Guillotine Choke,2,1:55,415
Gegard Mousasi,Uriah Hall,-560,430,17.85714286,430,11/19/2016,"Belfast, Northern Ireland, United Kingdom", United Kingdom,Red,FALSE,Middleweight,MALE,5,2,0,0,29.2,0.542,0.2,0.7,0.324,3,5,21,1,0,0,1,2,0,2,5,Orthodox,182.88,200.66,185,0,3,0,39.6,0.505,0.3,0.8,0.325,3,3,24,0,0,0,3,3,1,0,7,Orthodox,187.96,193.04,185,31,32,-2,-3,0,-2,-2,-3,1,1,-1,-5.08,7.62,-1,-10.4,-0.1,-0.1,0,1,10,5,,,,,,,5,,,,,,,,,,,,,10,,,,,,,Red,KO/TKO,Punches,1,4:37,277
Ross Pearson,Stevie Ray,-105,-115,95.23809524,86.95652174,11/19/2016,"Belfast, Northern Ireland, United Kingdom", United Kingdom,Blue,FALSE,Lightweight,MALE,3,1,0,0,25,0.4325,0.75,0.25,0.25,3,1,9,0,0,0,1,2,0,0,3,Southpaw,177.8,177.8,155,2,0,0,42.33333333,0.421428571,0,0.714285714,0.380952381,3,10,54,1,0,2,4,4,0,1,11,Orthodox,172.72,175.26,155,32,26,1,0,0,-8,9,-45,-1,-3,0,5.08,2.54,6,-17.33333333,0.75,-0.464285714,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900
Tim Johnson,Alexander Volkov,-150,130,66.66666667,130,11/19/2016,"Belfast, Northern Ireland, United Kingdom", United Kingdom,Blue,FALSE,Heavyweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,200.66,203.2,250,0,1,0,31,0.39,0,1.333333333,0.416666667,1,1,7,0,0,0,1,1,0,0,2,Southpaw,190.5,195.58,265,31,28,0,-1,-1,-2,1,-7,0,-1,0,10.16,7.62,3,-31,0,-1.333333333,0,1,,14,,,,,14,,,,,,,,,,,,,,,,,,,,,,Red,,,,,
Artem Lobov,Teruto Ishihara,220,-260,220,38.46153846,11/19/2016,"Belfast, Northern Ireland, United Kingdom", United Kingdom,Red,FALSE,Featherweight,MALE,3,0,2,0,42.66666667,0.52,0,0,0,2,1,6,0,0,0,0,2,0,0,2,Southpaw,170.18,175.26,135,0,1,0,26,0.28,0,0,0,1,2,9,1,0,0,1,0,0,0,1,Southpaw,175.26,165.1,145,30,25,0,1,1,1,1,-3,-1,2,0,-5.08,10.16,5,16.66666667,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900
Magnus Cedenblad,Jack Marshman,-250,210,40,210,11/19/2016,"Belfast, Northern Ireland, United Kingdom", United Kingdom,Blue,FALSE,Middleweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,185,0,4,0,15.2,0.552,0.6,1.2,0.22,4,1,10,0,0,0,1,1,2,0,4,Orthodox,195.58,200.66,185,34,26,0,-4,-4,-4,1,-10,0,-1,-2,-12.7,-15.24,8,-15.2,-0.6,-1.2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,2,3:40,520
Kyoji Horiguchi,Ali Bagautinov,-200,170,50,170,11/19/2016,"Belfast, Northern Ireland, United Kingdom", United Kingdom,Red,FALSE,Flyweight,MALE,3,0,1,0,47.83333333,0.436666667,0.333333333,2.833333333,0.355,3,2,20,1,0,0,3,1,0,0,4,Orthodox,162.56,165.1,125,0,2,0,50.14285714,0.475714286,0,1.571428571,0.397142857,4,1,20,1,0,0,4,2,0,0,6,Orthodox,165.1,167.64,125,26,31,0,-1,-1,-2,-1,0,0,-1,0,-2.54,-2.54,-5,-2.30952381,0.333333333,1.261904762,0,1,8,4,,,,,,,,,,,,4,,,,,,,,,,,,,8,,Red,U-DEC,,3,5:00,900
Kevin Lee,Magomed Mustafaev,-145,125,68.96551724,125,11/19/2016,"Belfast, Northern Ireland, United Kingdom", United Kingdom,Red,FALSE,Lightweight,MALE,3,0,2,0,18,0.545,0,0,0,2,0,3,0,0,0,0,1,0,1,2,Orthodox,172.72,180.34,155,0,2,0,41.375,0.3925,0.875,2,0.3675,4,2,18,0,0,1,3,1,1,0,6,Orthodox,175.26,195.58,170,24,28,0,0,-2,-4,2,-15,0,1,-1,-2.54,-15.24,-4,-23.375,-0.875,-2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,2,4:31,571
Anna Elmose,Amanda Cooper,-140,120,71.42857143,120,11/19/2016,"Belfast, Northern Ireland, United Kingdom", United Kingdom,Blue,FALSE,Women's Strawweight,FEMALE,3,1,0,0,1,0.25,2,0,0,0,1,1,1,0,0,0,0,0,0,0,Switch,160.02,162.56,115,1,0,0,6,0.6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,160.02,165.1,115,32,25,0,0,0,0,0,0,1,0,0,0,-2.54,7,-5,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900
Justin Ledet,Mark Godbeer,-140,130,71.42857143,130,11/19/2016,"Belfast, Northern Ireland, United Kingdom", United Kingdom,Red,FALSE,Heavyweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,193.04,195.58,240,0,1,0,113,0.49,0,0,0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,193.04,203.2,205,28,32,0,-1,-1,-1,0,-3,0,0,0,0,-7.62,-4,-113,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,1,2:16,136
