R_fighter,B_fighter,finish,finish_details,date
Marcos Rogerio de Lima,Clint Hester,SUB,Arm Triangle,4/23/2016
Kevin Lee,Efrain Escudero,U-DEC,,4/23/2016
Glover Teixeira,Rashad Evans,KO/TKO,Punch,4/16/2016
Rose Namajunas,Tecia Torres,U-DEC,,4/16/2016
Khabib Nurmagomedov,Darrell Horcher,KO/TKO,Punches,4/16/2016
Cub Swanson,Hacran Dias,U-DEC,,4/16/2016
Michael Chiesa,Beneil Dariush,SUB,Rear Naked Choke,4/16/2016
Raquel Pennington,Bethe Correia,S-DEC,,4/16/2016
Santiago Ponzinibbio,Court McGee,KO/TKO,Punch,4/16/2016
Michael Graves,Randy Brown,SUB,Rear Naked Choke,4/16/2016
John Dodson,Manvel Gamburyan,KO/TKO,Punches,4/16/2016
Cezar Ferreira,Oluwale Bamgbose,U-DEC,,4/16/2016
Elizeu Zaleski dos Santos,Omari Akhmedov,KO/TKO,Knee,4/16/2016
Junior Dos Santos,Ben Rothwell,U-DEC,,4/10/2016
Derrick Lewis,Gabriel Gonzaga,KO/TKO,Punches,4/10/2016
Francis Ngannou,Curtis Blaydes,KO/TKO,,4/10/2016
Timothy Johnson,Marcin Tybura,U-DEC,,4/10/2016
Jan Blachowicz,Igor Pokrajac,U-DEC,,4/10/2016
Maryna Moroz,Cristina Stanciu,U-DEC,,4/10/2016
Zak Cummings,Nicolas Dalby,U-DEC,,4/10/2016
Alejandro Perez,Ian Entwistle,KO/TKO,Punches,4/10/2016
Mairbek Taisumov,Damir Hadzovic,KO/TKO,Punch,4/10/2016
Damian Stasiak,Filip Pejic,SUB,Rear Naked Choke,4/10/2016
Lucas Martins,Robert Whiteford,S-DEC,,4/10/2016
Jared Cannonier,Cyril Asker,KO/TKO,Punch,4/10/2016
Bojan Velickovic,Alessio Di Chirico,U-DEC,,4/10/2016
Mark Hunt,Frank Mir,KO/TKO,Punch,3/19/2016
Neil Magny,Hector Lombard,KO/TKO,Punches,3/19/2016
Jake Matthews,Johnny Case,SUB,Rear Naked Choke,3/19/2016
Daniel Kelly,Antonio Carlos Junior,KO/TKO,Punches,3/19/2016
Steve Bosse,James Te Huna,KO/TKO,Punch,3/19/2016
Bec Rawlings,Seo Hee Ham,U-DEC,,3/19/2016
Alan Jouban,Brendan O'Reilly,KO/TKO,Elbow,3/19/2016
Dan Hooker,Mark Eddiva,SUB,Guillotine Choke,3/19/2016
Leslie Smith,Rin Nakai,U-DEC,,3/19/2016
Viscardi Andrade,Richard Walsh,U-DEC,,3/19/2016
Ross Pearson,Chad Laprise,S-DEC,,3/19/2016
Alan Patrick,Damien Brown,U-DEC,,3/19/2016
Nate Diaz,Conor McGregor,SUB,Rear Naked Choke,3/5/2016
Miesha Tate,Holly Holm,SUB,Rear Naked Choke,3/5/2016
Ilir Latifi,Gian Villante,U-DEC,,3/5/2016
Corey Anderson,Tom Lawlor,U-DEC,,3/5/2016
Amanda Nunes,Valentina Shevchenko,U-DEC,,3/5/2016
Siyar Bahadurzada,Brandon Thatch,SUB,Arm Triangle,3/5/2016
Nordine Taleb,Erick Silva,KO/TKO,Punch,3/5/2016
Vitor Miranda,Marcelo Guimaraes,KO/TKO,Kick,3/5/2016
Darren Elkins,Chas Skelly,U-DEC,,3/5/2016
Diego Sanchez,Jim Miller,U-DEC,,3/5/2016
Jason Saggo,Justin Salas,KO/TKO,Punches,3/5/2016
Teruto Ishihara,Julian Erosa,KO/TKO,Punch,3/5/2016
Michael Bisping,Anderson Silva,U-DEC,,2/27/2016
Gegard Mousasi,Thales Leites,U-DEC,,2/27/2016
Tom Breese,Keita Nakamura,U-DEC,,2/27/2016
Brad Pickett,Francisco Rivera,S-DEC,,2/27/2016
Makwan Amirkhani,Mike Wilkinson,U-DEC,,2/27/2016
Davey Grant,Marlon Vera,U-DEC,,2/27/2016
Scott Askham,Chris Dempsey,KO/TKO,Punch,2/27/2016
Arnold Allen,Yaotzin Meza,U-DEC,,2/27/2016
Krzysztof Jotko,Brad Scott,U-DEC,,2/27/2016
Rustam Khabilov,Norman Parke,U-DEC,,2/27/2016
Daniel Omielanczuk,Jarjis Danho,M-DEC,,2/27/2016
Teemu Packalen,Thibault Gouti,SUB,Rear Naked Choke,2/27/2016
David Teymur,Martin Svensson,KO/TKO,Punch,2/27/2016
Donald Cerrone,Alex Oliveira,SUB,Triangle Choke,2/21/2016
Derek Brunson,Roan Carneiro,KO/TKO,Punches,2/21/2016
Cody Garbrandt,Augusto Mendes,KO/TKO,Punches,2/21/2016
Dennis Bermudez,Tatsuya Kawajiri,U-DEC,,2/21/2016
Chris Camozzi,Joe Riggs,KO/TKO,Knees,2/21/2016
James Krause,Shane Campbell,U-DEC,,2/21/2016
Sean Strickland,Alex Garcia,KO/TKO,Punches,2/21/2016
Oluwale Bamgbose,Daniel Sarafian,KO/TKO,Kick,2/21/2016
Anthony Smith,Leonardo Guimaraes,U-DEC,,2/21/2016
Nathan Coy,Jonavin Webb,U-DEC,,2/21/2016
Ashlee Evans-Smith,Marion Reneau,S-DEC,,2/21/2016
Lauren Murphy,Kelly Faszholz,KO/TKO,Punches,2/21/2016
Shamil Abdurakhimov,Anthony Hamilton,U-DEC,,2/21/2016
Stephen Thompson,Johny Hendricks,KO/TKO,Punch,2/6/2016
Roy Nelson,Jared Rosholt,U-DEC,,2/6/2016
Ovince Saint Preux,Rafael Cavalcante,U-DEC,,2/6/2016
Joseph Benavidez,Zach Makovsky,U-DEC,,2/6/2016
Misha Cirkunov,Alex Nicholson,SUB,Neck Crank,2/6/2016
Mike Pyle,Sean Spencer,KO/TKO,Elbow,2/6/2016
Joshua Burkman,KJ Noons,U-DEC,,2/6/2016
Derrick Lewis,Damian Grabowski,KO/TKO,Punch,2/6/2016
Justin Scoggins,Ray Borg,U-DEC,,2/6/2016
Diego Rivas,Noad Lahat,KO/TKO,Flying Knee,2/6/2016
Mickey Gall,Mike Jackson,SUB,Rear Naked Choke,2/6/2016
Alex White,Artem Lobov,U-DEC,,2/6/2016
Anthony Johnson,Ryan Bader,KO/TKO,Punches,1/30/2016
Ben Rothwell,Josh Barnett,SUB,Guillotine Choke,1/30/2016
Jimmie Rivera,Iuri Alcantara,U-DEC,,1/30/2016
Bryan Barberena,Sage Northcutt,SUB,Arm Triangle,1/30/2016
Tarec Saffiedine,Jake Ellenberger,U-DEC,,1/30/2016
Diego Ferreira,Olivier Aubin-Mercier,U-DEC,,1/30/2016
Rafael Natal,Kevin Casey,KO/TKO,Punches,1/30/2016
Wilson Reis,Dustin Ortiz,U-DEC,,1/30/2016
Alexander Yakovlev,George Sullivan,KO/TKO,Punches,1/30/2016
Alex Caceres,Masio Fullen,U-DEC,,1/30/2016
Randy Brown,Matt Dwyer,U-DEC,,1/30/2016
Damon Jackson,Levan Makashvili,M-DEC,,1/30/2016
Anthony Rocco Martin,Felipe Olivieri,SUB,Rear Naked Choke,1/30/2016
Dominick Cruz,TJ Dillashaw,S-DEC,,1/17/2016
Eddie Alvarez,Anthony Pettis,S-DEC,,1/17/2016
Travis Browne,Matt Mitrione,KO/TKO,Punches,1/17/2016
Francisco Trinaldo,Ross Pearson,U-DEC,,1/17/2016
Patrick Cote,Ben Saunders,KO/TKO,Punches,1/17/2016
Ed Herman,Tim Boetsch,KO/TKO,Knee,1/17/2016
Chris Wade,Mehdi Baghdad,SUB,Rear Naked Choke,1/17/2016
Luke Sanders,Maximo Blanco,SUB,Rear Naked Choke,1/17/2016
Paul Felder,Daron Cruickshank,SUB,Rear Naked Choke,1/17/2016
Ilir Latifi,Sean O'Connell,KO/TKO,Punch,1/17/2016
Charles Rosa,Kyle Bochniak,U-DEC,,1/17/2016
Rob Font,Joey Gomez,KO/TKO,Punches,1/17/2016
Francimar Barroso,Elvis Mutapcic,U-DEC,,1/17/2016
Robbie Lawler,Carlos Condit,S-DEC,,1/2/2016
Stipe Miocic,Andrei Arlovski,KO/TKO,Punch,1/2/2016
Albert Tumenov,Lorenz Larkin,S-DEC,,1/2/2016
Brian Ortega,Diego Brandao,SUB,Triangle Choke,1/2/2016
Abel Trujillo,Tony Sims,SUB,Guillotine Choke,1/2/2016
Michael McDonald,Masanori Kanehara,SUB,Rear Naked Choke,1/2/2016
Alex Morono,Kyle Noke,S-DEC,,1/2/2016
Justine Kish,Nina Ansaroff,U-DEC,,1/2/2016
Drew Dober,Scott Holtzman,U-DEC,,1/2/2016
Dustin Poirier,Joe Duffy,U-DEC,,1/2/2016
Michinori Tanaka,Joe Soto,S-DEC,,1/2/2016
Sheldon Westcott,Edgar Garcia,KO/TKO,Punches,1/2/2016
Rafael Dos Anjos,Donald Cerrone,KO/TKO,Punches,12/19/2015
Alistair Overeem,Junior Dos Santos,KO/TKO,Punches,12/19/2015
Nate Diaz,Michael Johnson,U-DEC,,12/19/2015
Karolina Kowalkiewicz,Randa Markos,U-DEC,,12/19/2015
Charles Oliveira,Myles Jury,SUB,Guillotine Choke,12/19/2015
Nate Marquardt,CB Dollaway,KO/TKO,Punch,12/19/2015
Valentina Shevchenko,Sarah Kaufman,S-DEC,,12/19/2015
Tamdan McCrory,Josh Samman,SUB,Triangle Choke,12/19/2015
Nik Lentz,Danny Castillo,S-DEC,,12/19/2015
Cole Miller,Jim Alers,CNC,,12/19/2015
Kamaru Usman,Leon Edwards,U-DEC,,12/19/2015
Vicente Luque,Hayder Hassan,SUB,Anaconda Choke,12/19/2015
Francis Ngannou,Luis Henrique,KO/TKO,Punch,12/19/2015
Conor McGregor,Jose Aldo,KO/TKO,Punch,12/12/2015
Luke Rockhold,Chris Weidman,KO/TKO,Punches,12/12/2015
Yoel Romero,Jacare Souza,S-DEC,,12/12/2015
Demian Maia,Gunnar Nelson,U-DEC,,12/12/2015
Max Holloway,Jeremy Stephens,U-DEC,,12/12/2015
Urijah Faber,Frankie Saenz,U-DEC,,12/12/2015
Tecia Torres,Jocelyn Jones-Lybarger,U-DEC,,12/12/2015
Warlley Alves,Colby Covington,SUB,Guillotine Choke,12/12/2015
Leonardo Santos,Kevin Lee,KO/TKO,Punches,12/12/2015
Magomed Mustafaev,Joe Proctor,KO/TKO,Knee,12/12/2015
Yancy Medeiros,John Makdessi,S-DEC,,12/12/2015
Court McGee,Marcio Alexandre Junior,U-DEC,,12/12/2015
Frankie Edgar,Chad Mendes,KO/TKO,Punch,12/11/2015
Ryan Hall,Artem Lobov,U-DEC,,12/11/2015
Tony Ferguson,Edson Barboza,SUB,D'Arce Choke,12/11/2015
Evan Dunham,Joe Lauzon,U-DEC,,12/11/2015
Tatsuya Kawajiri,Jason Knight,U-DEC,,12/11/2015
Julian Erosa,Marcin Wrzosek,S-DEC,,12/11/2015
Gabriel Gonzaga,Konstantin Erokhin,U-DEC,,12/11/2015
Ryan LaFlare,Mike Pierce,U-DEC,,12/11/2015
Geane Herrera,Joby Sanchez,KO/TKO,Punch,12/11/2015
Chris Gruetzemacher,Abner Lloveras,U-DEC,,12/11/2015
Rose Namajunas,Paige VanZant,SUB,Rear Naked Choke,12/10/2015
Michael Chiesa,Jim Miller,SUB,Rear Naked Choke,12/10/2015
Sage Northcutt,Cody Pfister,SUB,Guillotine Choke,12/10/2015
Thiago Santos,Elias Theodorou,U-DEC,,12/10/2015
Tim Means,John Howard,KO/TKO,Punch,12/10/2015
Sergio Moraes,Omari Akhmedov,KO/TKO,Punches,12/10/2015
Antonio Carlos Junior,Kevin Casey,CNC,,12/10/2015
Aljamain Sterling,Johnny Eduardo,SUB,Guillotine Choke,12/10/2015
Santiago Ponzinibbio,Andreas Stahl,KO/TKO,Punch,12/10/2015
Danny Roberts,Nathan Coy,SUB,Triangle Choke,12/10/2015
Zubaira Tukhugov,Phillipe Nover,S-DEC,,12/10/2015
Kailin Curran,Emily Kagan,SUB,Rear Naked Choke,12/10/2015
Benson Henderson,Jorge Masvidal,S-DEC,,11/28/2015
Dong Hyun Kim,Dominic Waters,KO/TKO,Punches,11/28/2015
Alberto Mina,Yoshihiro Akiyama,S-DEC,,11/28/2015
Dooho Choi,Sam Sicilia,KO/TKO,Punch,11/28/2015
Dongi Yang,Jake Collier,KO/TKO,Punches,11/28/2015
Mike de la Torre,Yui Chul Nam,S-DEC,,11/28/2015
Tae Hyun Bang,Leo Kuntz,S-DEC,,11/28/2015
Seo Hee Ham,Cortney Casey,U-DEC,,11/28/2015
Fredy Serrano,Yao Zhikui,KO/TKO,,11/28/2015
Marco Beltran,Guangyou Ning,S-DEC,,11/28/2015
Dominique Steele,Dong Hyun Ma,KO/TKO,Slam,11/28/2015
Neil Magny,Kelvin Gastelum,S-DEC,,11/21/2015
Ricardo Lamas,Diego Sanchez,U-DEC,,11/21/2015
Henry Cejudo,Jussier Formiga,S-DEC,,11/21/2015
Erick Montano,Enrique Marin,S-DEC,,11/21/2015
Enrique Barzola,Horacio Gutierrez,U-DEC,,11/21/2015
Leandro Silva,Efrain Escudero,U-DEC,,11/21/2015
Erik Perez,Taylor Lapilus,U-DEC,,11/21/2015
Bartosz Fabinski,Hector Urbina,U-DEC,,11/21/2015
Alejandro Perez,Scott Jorgensen,KO/TKO,,11/21/2015
Andre Fili,Gabriel Benitez,KO/TKO,Punches,11/21/2015
Alvaro Herrera Mendoza,Vernon Ramos Ho,KO/TKO,Punches,11/21/2015
Marco Polo Reyes,Cesar Arzamendia,KO/TKO,Punch,11/21/2015
Michel Prazeres,Valmir Lazaro,S-DEC,,11/21/2015
Holly Holm,Ronda Rousey,KO/TKO,Kick,11/14/2015
Joanna Jedrzejczyk,Valerie Letourneau,U-DEC,,11/14/2015
Mark Hunt,Antonio Silva,KO/TKO,Punch,11/14/2015
Robert Whittaker,Uriah Hall,U-DEC,,11/14/2015
Jared Rosholt,Stefan Struve,U-DEC,,11/14/2015
Jake Matthews,Akbarh Arreola,KO/TKO,,11/14/2015
Kyle Noke,Peter Sobotta,KO/TKO,Kick,11/14/2015
Gian Villante,Anthony Perosh,KO/TKO,Punch,11/14/2015
Danny Martinez,Richie Vaculik,U-DEC,,11/14/2015
Daniel Kelly,Steve Montgomery,U-DEC,,11/14/2015
Richard Walsh,Steve Kennedy,U-DEC,,11/14/2015
James Moontasri,Anton Zafir,KO/TKO,Spinning Back Kick,11/14/2015
Ben Nguyen,Ryan Benoit,SUB,Rear Naked Choke,11/14/2015
Vitor Belfort,Dan Henderson,KO/TKO,Kick,11/7/2015
Glover Teixeira,Patrick Cummins,KO/TKO,Punches,11/7/2015
Thomas Almeida,Anthony Birchak,KO/TKO,Punches,11/7/2015
Alex Oliveira,Piotr Hallmann,KO/TKO,Punch,11/7/2015
Rashid Magomedov,Gilbert Burns,U-DEC,,11/7/2015
Corey Anderson,Fabio Maldonado,U-DEC,,11/7/2015
Abel Trujillo,Gleison Tibau,DQ,Rear Naked Choke,11/7/2015
Johnny Case,Yan Cabral,U-DEC,,11/7/2015
Thiago Tavares,Clay Guida,SUB,Guillotine Choke,11/7/2015
Chas Skelly,Edimilson Souza,SUB,Rear Naked Choke,11/7/2015
Viscardi Andrade,Gasan Umalatov,U-DEC,,11/7/2015
Jimmie Rivera,Pedro Munhoz,S-DEC,,11/7/2015
Matheus Nicolau Pereira,Bruno Rodrigues,SUB,Guillotine Choke,11/7/2015
Louis Smolka,Paddy Holohan,SUB,Rear Naked Choke,10/24/2015
Norman Parke,Reza Madadi,U-DEC,,10/24/2015
Nicolas Dalby,Darren Till,M-DEC,,10/24/2015
Neil Seery,Jon Delos Reyes,SUB,Guillotine Choke,10/24/2015
Stevie Ray,Mickael Lebout,U-DEC,,10/24/2015
Aisling Daly,Ericka Almeida,U-DEC,,10/24/2015
Krzysztof Jotko,Scott Askham,S-DEC,,10/24/2015
Tom Breese,Cathal Pendred,KO/TKO,Punches,10/24/2015
Darren Elkins,Robert Whiteford,U-DEC,,10/24/2015
Garreth McLellan,Bubba Bush,KO/TKO,Punches,10/24/2015
Daniel Cormier,Alexander Gustafsson,S-DEC,,10/3/2015
Ryan Bader,Rashad Evans,U-DEC,,10/3/2015
Ruslan Magomedov,Shawn Jordan,U-DEC,,10/3/2015
Joseph Benavidez,Ali Bagautinov,U-DEC,,10/3/2015
Julianna Pena,Jessica Eye,U-DEC,,10/3/2015
Yair Rodriguez,Dan Hooker,U-DEC,,10/3/2015
Albert Tumenov,Alan Jouban,KO/TKO,Punches,10/3/2015
Adriano Martins,Islam Makhachev,KO/TKO,Punch,10/3/2015
Rose Namajunas,Angela Hill,SUB,Rear Naked Choke,10/3/2015
Sage Northcutt,Francisco Trevino,KO/TKO,Punches,10/3/2015
Sergio Pettis,Chris Cariaso,U-DEC,,10/3/2015
Derrick Lewis,Viktor Pesta,KO/TKO,Punches,10/3/2015
Josh Barnett,Roy Nelson,U-DEC,,9/26/2015
Uriah Hall,Gegard Mousasi,KO/TKO,Spinning Back Kick,9/26/2015
Kyoji Horiguchi,Chico Camus,U-DEC,,9/26/2015
Takeya Mizugaki,George Roop,U-DEC,,9/26/2015
Diego Brandao,Katsunori Kikuno,KO/TKO,Punch,9/26/2015
Mizuto Hirota,Teruto Ishihara,S-DEC,,9/26/2015
Keita Nakamura,Jingliang Li,SUB,Rear Naked Choke,9/26/2015
Nick Hein,Yusuke Kasuya,U-DEC,,9/26/2015
Kajan Johnson,Naoyuki Kotani,U-DEC,,9/26/2015
Shinsho Anzai,Roger Zapata,KO/TKO,,9/26/2015
Demetrious Johnson,John Dodson,U-DEC,,9/5/2015
Andrei Arlovski,Frank Mir,U-DEC,,9/5/2015
Anthony Johnson,Jimi Manuwa,KO/TKO,Punch,9/5/2015
Corey Anderson,Jan Blachowicz,U-DEC,,9/5/2015
Paige VanZant,Alex Chambers,SUB,Armbar,9/5/2015
Ross Pearson,Paul Felder,S-DEC,,9/5/2015
John Lineker,Francisco Rivera,SUB,Guillotine Choke,9/5/2015
Raquel Pennington,Jessica Andrade,SUB,Rear Naked Choke,9/5/2015
Tiago dos Santos e Silva,Clay Collard,S-DEC,,9/5/2015
Joe Riggs,Ron Stallings,DQ,,9/5/2015
Joaquim Silva,Nazareno Malegarie,S-DEC,,9/5/2015
Max Holloway,Charles Oliveira,KO/TKO,,8/23/2015
Neil Magny,Erick Silva,U-DEC,,8/23/2015
Patrick Cote,Joshua Burkman,KO/TKO,Punches,8/23/2015
Francisco Trinaldo,Chad Laprise,KO/TKO,Punches,8/23/2015
Olivier Aubin-Mercier,Tony Sims,U-DEC,,8/23/2015
Valerie Letourneau,Maryna Moroz,U-DEC,,8/23/2015
Frankie Perez,Sam Stout,KO/TKO,Punches,8/23/2015
Felipe Arantes,Yves Jabouin,SUB,Armbar,8/23/2015
Nikita Krylov,Marcos Rogerio de Lima,SUB,Rear Naked Choke,8/23/2015
Chris Kelades,Chris Beal,S-DEC,,8/23/2015
Shane Campbell,Elias Silverio,U-DEC,,8/23/2015
Misha Cirkunov,Daniel Jolly,KO/TKO,Punches,8/23/2015
Glover Teixeira,Ovince Saint Preux,SUB,Rear Naked Choke,8/8/2015
Beneil Dariush,Michael Johnson,S-DEC,,8/8/2015
Derek Brunson,Sam Alvey,KO/TKO,Punches,8/8/2015
Jared Rosholt,Timothy Johnson,U-DEC,,8/8/2015
Amanda Nunes,Sara McMann,SUB,Rear Naked Choke,8/8/2015
Ray Borg,Geane Herrera,U-DEC,,8/8/2015
Uriah Hall,Oluwale Bamgbose,KO/TKO,Punches,8/8/2015
Chris Camozzi,Tom Watson,U-DEC,,8/8/2015
Dustin Ortiz,Willie Gates,KO/TKO,Punches,8/8/2015
Frankie Saenz,Sirwan Kakai,S-DEC,,8/8/2015
Jonathan Wilson,Chris Dempsey,KO/TKO,Punch,8/8/2015
Marlon Vera,Roman Salazar,SUB,Armbar,8/8/2015
Scott Holtzman,Anthony Christodoulou,SUB,Rear Naked Choke,8/8/2015
Ronda Rousey,Bethe Correia,KO/TKO,Punch,8/1/2015
Mauricio Rua,Rogerio Nogueira,U-DEC,,8/1/2015
Glaico Franca Moreira,Fernando Bruno,SUB,Rear Naked Choke,8/1/2015
Reginaldo Vieira,Dileno Lopes,U-DEC,,8/1/2015
Stefan Struve,Antonio Rodrigo Nogueira,U-DEC,,8/1/2015
Antonio Silva,Soa Palelei,KO/TKO,Punches,8/1/2015
Claudia Gadelha,Jessica Aguilar,U-DEC,,8/1/2015
Demian Maia,Neil Magny,SUB,Rear Naked Choke,8/1/2015
Patrick Cummins,Rafael Cavalcante,KO/TKO,Elbows,8/1/2015
Warlley Alves,Nordine Taleb,SUB,Guillotine Choke,8/1/2015
Iuri Alcantara,Leandro Issa,U-DEC,,8/1/2015
Vitor Miranda,Clint Hester,KO/TKO,Elbows,8/1/2015
Guido Cannetti,Hugo Viana,U-DEC,,8/1/2015
TJ Dillashaw,Renan Barao,KO/TKO,Punches,7/25/2015
Miesha Tate,Jessica Eye,U-DEC,,7/25/2015
Edson Barboza,Paul Felder,U-DEC,,7/25/2015
Joe Lauzon,Takanori Gomi,KO/TKO,Punches,7/25/2015
Tom Lawlor,Gian Villante,KO/TKO,Punch,7/25/2015
Jim Miller,Danny Castillo,S-DEC,,7/25/2015
Ben Saunders,Kenny Robertson,S-DEC,,7/25/2015
Bryan Caraway,Eddie Wineland,U-DEC,,7/25/2015
James Krause,Daron Cruickshank,SUB,Rear Naked Choke,7/25/2015
Andrew Holbrook,Ramsey Nijem,S-DEC,,7/25/2015
Elizabeth Phillips,Jessamyn Duke,U-DEC,,7/25/2015
Zak Cummings,Dominique Steele,KO/TKO,Punches,7/25/2015
Michael Bisping,Thales Leites,S-DEC,,7/18/2015
Evan Dunham,Ross Pearson,U-DEC,,7/18/2015
Joe Duffy,Ivan Jorge,SUB,Triangle Choke,7/18/2015
Joanne Calderwood,Cortney Casey,U-DEC,,7/18/2015
Leon Edwards,Pawel Pawlak,U-DEC,,7/18/2015
Stevie Ray,Leonardo Mafra,KO/TKO,Punches,7/18/2015
Paddy Holohan,Vaughan Lee,U-DEC,,7/18/2015
Ilir Latifi,Hans Stringer,KO/TKO,Punch,7/18/2015
Mickael Lebout,Teemu Packalen,U-DEC,,7/18/2015
Robert Whiteford,Paul Redmond,KO/TKO,Punch,7/18/2015
Jimmie Rivera,Marcus Brimage,KO/TKO,Punches,7/18/2015
Daniel Omielanczuk,Chris de la Rocha,KO/TKO,Punch,7/18/2015
Frank Mir,Todd Duffee,KO/TKO,Punch,7/15/2015
Tony Ferguson,Josh Thomson,U-DEC,,7/15/2015
Holly Holm,Marion Reneau,U-DEC,,7/15/2015
Manvel Gamburyan,Scott Jorgensen,U-DEC,,7/15/2015
Kevin Lee,James Moontasri,SUB,Rear Naked Choke,7/15/2015
Alan Jouban,Matt Dwyer,U-DEC,,7/15/2015
Sam Sicilia,Yaotzin Meza,U-DEC,,7/15/2015
Jessica Andrade,Sarah Moras,U-DEC,,7/15/2015
Rani Yahya,Masanori Kanehara,S-DEC,,7/15/2015
Sean Strickland,Igor Araujo,U-DEC,,7/15/2015
Kevin Casey,Ildemar Alcantara,U-DEC,,7/15/2015
Lyman Good,Andrew Craig,KO/TKO,Punch,7/15/2015
Stephen Thompson,Jake Ellenberger,KO/TKO,Kick,7/12/2015
Kamaru Usman,Hayder Hassan,SUB,Arm Triangle,7/12/2015
Michael Graves,Vicente Luque,U-DEC,,7/12/2015
Jorge Masvidal,Cezar Ferreira,KO/TKO,Elbow,7/12/2015
Michelle Waterson,Angela Magana,SUB,Rear Naked Choke,7/12/2015
Maximo Blanco,Mike de la Torre,KO/TKO,Punch,7/12/2015
Josh Samman,Caio Magalhaes,SUB,Rear Naked Choke,7/12/2015
Jerrod Sanders,Russell Doane,U-DEC,,7/12/2015
Trevor Smith,Dan Miller,U-DEC,,7/12/2015
George Sullivan,Dominic Waters,U-DEC,,7/12/2015
Willie Gates,Darrell Montague,KO/TKO,Punches,7/12/2015
Conor McGregor,Chad Mendes,KO/TKO,Punch,7/11/2015
Robbie Lawler,Rory MacDonald,KO/TKO,Punch,7/11/2015
Jeremy Stephens,Dennis Bermudez,KO/TKO,Flying Knee,7/11/2015
Gunnar Nelson,Brandon Thatch,SUB,Rear Naked Choke,7/11/2015
Thomas Almeida,Brad Pickett,KO/TKO,Flying Knee,7/11/2015
Matt Brown,Tim Means,SUB,Guillotine Choke,7/11/2015
Alex Garcia,Mike Swick,U-DEC,,7/11/2015
John Howard,Cathal Pendred,S-DEC,,7/11/2015
Cody Garbrandt,Henry Briones,U-DEC,,7/11/2015
Louis Smolka,Neil Seery,U-DEC,,7/11/2015
Cody Pfister,Yosdenis Cedeno,U-DEC,,7/11/2015
Yoel Romero,Lyoto Machida,KO/TKO,Elbows,6/27/2015
Lorenz Larkin,Santiago Ponzinibbio,KO/TKO,Punches,6/27/2015
Antonio Carlos Junior,Eddie Gordon,SUB,Rear Naked Choke,6/27/2015
Thiago Santos,Steve Bosse,KO/TKO,Kick,6/27/2015
Hacran Dias,Levan Makashvili,S-DEC,,6/27/2015
Alex Oliveira,Joe Merritt,U-DEC,,6/27/2015
Leandro Silva,Lewis Gonzalez,U-DEC,,6/27/2015
Tony Sims,Steve Montgomery,KO/TKO,Punch,6/27/2015
Sirwan Kakai,Danny Martinez,U-DEC,,6/27/2015
Joanna Jedrzejczyk,Jessica Penne,KO/TKO,Punches,6/20/2015
Tatsuya Kawajiri,Dennis Siver,U-DEC,,6/20/2015
Peter Sobotta,Steve Kennedy,SUB,Rear Naked Choke,6/20/2015
Nick Hein,Lukasz Sajewski,U-DEC,,6/20/2015
Makwan Amirkhani,Masio Fullen,SUB,Rear Naked Choke,6/20/2015
Mairbek Taisumov,Alan Patrick,KO/TKO,Kick,6/20/2015
Arnold Allen,Alan Omer,SUB,Guillotine Choke,6/20/2015
Noad Lahat,Niklas Backstrom,M-DEC,,6/20/2015
Scott Askham,Antonio Dos Santos,KO/TKO,Punch,6/20/2015
Magomed Mustafaev,Piotr Hallmann,KO/TKO,,6/20/2015
Taylor Lapilus,Yuta Sasaki,KO/TKO,Punches,6/20/2015
Fabricio Werdum,Cain Velasquez,SUB,Guillotine Choke,6/13/2015
Eddie Alvarez,Gilbert Melendez,S-DEC,,6/13/2015
Kelvin Gastelum,Nate Marquardt,KO/TKO,,6/13/2015
Yair Rodriguez,Charles Rosa,S-DEC,,6/13/2015
Tecia Torres,Angela Hill,U-DEC,,6/13/2015
Henry Cejudo,Chico Camus,U-DEC,,6/13/2015
Efrain Escudero,Drew Dober,SUB,Guillotine Choke,6/13/2015
Patrick Williams,Alejandro Perez,SUB,Guillotine Choke,6/13/2015
Johnny Case,Francisco Trevino,U-DEC,,6/13/2015
Cathal Pendred,Augusto Montano,U-DEC,,6/13/2015
Gabriel Benitez,Clay Collard,U-DEC,,6/13/2015
Dan Henderson,Tim Boetsch,KO/TKO,Punch,6/6/2015
Ben Rothwell,Matt Mitrione,SUB,Guillotine Choke,6/6/2015
Dustin Poirier,Yancy Medeiros,KO/TKO,Punches,6/6/2015
Brian Ortega,Thiago Tavares,KO/TKO,Punch,6/6/2015
Anthony Birchak,Joe Soto,KO/TKO,Punch,6/6/2015
Francisco Rivera,Alex Caceres,KO/TKO,Punch,6/6/2015
Shawn Jordan,Derrick Lewis,KO/TKO,Kick,6/6/2015
Omari Akhmedov,Brian Ebersole,KO/TKO,,6/6/2015
Chris Wade,Christos Giagos,U-DEC,,6/6/2015
Joe Proctor,Justin Edwards,SUB,Guillotine Choke,6/6/2015
Jake Collier,Ricardo Abreu,S-DEC,,6/6/2015
Jose Quinonez,Leonardo Morales,SUB,Rear Naked Choke,6/6/2015
Carlos Condit,Thiago Alves,KO/TKO,,5/30/2015
Charles Oliveira,Nik Lentz,SUB,Guillotine Choke,5/30/2015
Alex Oliveira,KJ Noons,SUB,Rear Naked Choke,5/30/2015
Francimar Barroso,Ryan Jimmo,U-DEC,,5/30/2015
