R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details
TJ Dillashaw,Issei Tamura,-660,540,15.15151515,540.0,3/16/2013,"Montreal, Quebec, Canada", Canada,Red,False,Bantamweight,MALE,3,1,0,0,10.0,0.485,0.0,0.5,0.25,1,1,4,0,0,0,0,1,0,0,1,Orthodox,165.1,160.02,135,0,2,0,30.0,0.33666666700000003,2.0,1.6666666669999999,0.36,2,1,5,1,0,0,1,0,1,0,2,Orthodox,167.64,170.18,125,27,29,-1,-2,-1,-1,0,-1,-1,1,-1,-2.54,-10.16,-2,-20.0,-2.0,-1.166666667,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Kick
George Roop,Reuben Duran,110,-120,110.0,83.33333333,3/16/2013,"Montreal, Quebec, Canada", Canada,Red,False,Bantamweight,MALE,3,1,0,0,39.0,0.436666667,0.666666667,0.666666667,0.133333333,1,2,7,0,0,0,0,0,1,0,1,Orthodox,170.18,175.26,135,2,0,0,37.28571429,0.334285714,0.0,0.428571429,0.28571428600000004,1,5,17,0,0,1,0,1,0,0,2,Orthodox,185.42,182.88,135,31,29,1,0,0,-1,3,-10,0,-1,1,-15.24,-7.62,2,1.71428571,0.666666667,0.23809523800000001,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Wanderlei Silva,Brian Stann,270,-300,270.0,33.33333333,3/2/2013,"Saitama, Japan", Japan,Red,False,Light Heavyweight,MALE,5,1,0,0,29.0,0.424,0.3,0.0,0.0,3,4,22,0,0,0,2,3,1,0,6,Orthodox,185.42,187.96,205,1,0,0,25.63636364,0.39727272700000005,0.090909091,0.181818182,0.181818182,1,7,26,1,0,0,1,3,0,0,4,Orthodox,180.34,187.96,205,36,32,0,0,2,2,3,-4,-1,0,1,5.08,0.0,4,3.36363636,0.209090909,-0.181818182,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch
Stefan Struve,Mark Hunt,-205,188,48.780487799999996,188.0,3/2/2013,"Saitama, Japan", Japan,Blue,False,Heavyweight,MALE,3,0,3,0,18.25,0.42,0.25,0.75,0.375,3,1,7,0,0,0,1,2,0,0,3,Orthodox,177.8,182.88,265,0,4,0,19.91666667,0.435833333,1.5,0.25,0.25,4,3,19,0,1,0,0,4,4,0,9,Orthodox,210.82,213.36,265,25,38,0,-1,-1,-6,2,-12,0,-2,-4,-33.02,-30.48,-13,-1.66666667,-1.25,0.5,0,1,,9.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,Red,KO/TKO,Punch
Takanori Gomi,Diego Sanchez,211,-231,211.0,43.29004329,3/2/2013,"Saitama, Japan", Japan,Blue,False,Lightweight,MALE,3,1,0,0,34.58823529,0.398823529,0.764705882,1.294117647,0.28882352899999997,6,5,46,2,0,1,6,5,0,0,12,Southpaw,177.8,182.88,170,0,2,0,24.16666667,0.276666667,0.0,0.166666667,0.083333333,2,3,12,0,0,1,0,2,0,0,3,Southpaw,170.18,177.8,155,34,31,-1,-2,4,9,-2,34,2,3,0,7.62,5.08,3,10.42156862,0.764705882,1.12745098,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,
Yushin Okami,Hector Lombard,185,-200,185.0,50.0,3/2/2013,"Saitama, Japan", Japan,Red,False,Middleweight,MALE,3,0,1,0,25.0,0.425,0.0,1.0,0.25,1,1,4,0,0,0,0,1,0,0,1,Southpaw,175.26,180.34,185,0,2,0,28.125,0.399375,0.5,1.5,0.39375,4,4,44,1,0,1,6,4,0,1,12,Southpaw,187.96,190.5,170,31,35,0,-1,-3,-11,3,-40,-1,-4,0,-12.7,-10.16,-4,-3.125,-0.5,-0.5,0,1,8.0,4.0,,,,,,,4.0,,,,,,,,,,,,,8.0,,,,,,,Red,S-DEC,
Mizuto Hirota,Rani Yahya,-150,140,66.66666667,140.0,3/2/2013,"Saitama, Japan", Japan,Blue,False,Featherweight,MALE,3,0,1,0,19.33333333,0.39333333299999995,1.0,1.333333333,0.256666667,1,1,7,0,0,0,1,0,1,0,2,Orthodox,167.64,170.18,135,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,155,31,28,0,1,1,2,-1,7,0,0,1,-2.54,0.0,3,19.33333333,1.0,1.333333333,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Dong Hyun Kim,Siyar Bahadurzada,-170,160,58.82352941,160.0,3/2/2013,"Saitama, Japan", Japan,Red,False,Welterweight,MALE,3,0,1,0,3.0,0.75,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,180.34,185.42,170,0,1,0,27.0,0.557,0.6,2.7,0.551,3,3,26,0,0,1,5,1,0,0,7,Southpaw,187.96,193.04,170,31,28,0,0,-2,-6,3,-25,0,0,0,-7.62,-7.62,3,-24.0,-0.6,-2.7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Riki Fukuda,Brad Tavares,110,-120,110.0,83.33333333,3/2/2013,"Saitama, Japan", Japan,Blue,False,Middleweight,MALE,3,0,2,0,35.0,0.46399999999999997,0.0,2.2,0.364,2,1,13,0,0,1,2,1,0,0,4,Orthodox,185.42,187.96,185,0,1,0,70.25,0.4525,0.0,3.0,0.44,1,2,12,0,0,0,2,0,0,0,2,Southpaw,182.88,185.42,185,32,25,0,1,1,2,1,1,0,1,0,2.54,2.54,7,-35.25,0.0,-0.8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Takeya Mizugaki,Bryan Caraway,-215,195,46.51162791,195.0,3/2/2013,"Saitama, Japan", Japan,Red,False,Bantamweight,MALE,3,0,2,0,17.0,0.335,1.0,3.0,0.665,2,0,5,0,0,0,0,0,2,0,2,Orthodox,172.72,172.72,135,0,1,0,43.6,0.40399999999999997,0.0,2.2,0.7,1,2,14,0,0,1,1,1,0,0,3,Orthodox,170.18,172.72,135,29,28,0,1,1,-1,2,-9,0,-1,2,2.54,0.0,1,-26.6,1.0,0.8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,
Cristiano Marcello,Kazuki Tokudome,105,-115,105.0,86.95652174,3/2/2013,"Saitama, Japan", Japan,Blue,False,Lightweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,180.34,185.42,155,0,1,0,55.5,0.36,0.0,0.0,0.0,1,1,5,0,0,1,0,0,0,0,1,Orthodox,175.26,182.88,155,35,25,0,-1,-1,-1,1,-5,0,0,0,5.08,2.54,10,-55.5,0.0,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Marcelo Guimaraes,Hyun Gyu Lim,248,-270,248.0,37.03703704,3/2/2013,"Saitama, Japan", Japan,Blue,False,Welterweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,190.5,195.58,170,0,1,0,63.0,0.64,0.0,0.0,0.0,1,0,3,0,0,1,0,0,0,0,1,Orthodox,182.88,185.42,185,29,28,0,-1,-1,-1,0,-3,0,0,0,7.62,10.16,1,-63.0,0.0,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Knee
Ronda Rousey,Liz Carmouche,-900,700,11.11111111,700.0,2/23/2013,"Anaheim, California, USA", USA,Red,True,Women's Bantamweight,FEMALE,5,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,167.64,125,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,172.72,135,26,29,0,0,0,0,0,0,0,0,0,-2.54,-5.08,-3,0.0,0.0,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Armbar
Lyoto Machida,Dan Henderson,-192,177,52.08333333,177.0,2/23/2013,"Anaheim, California, USA", USA,Red,False,Light Heavyweight,MALE,3,0,4,0,40.375,0.5125,0.625,1.625,0.45125,4,2,24,3,0,2,3,1,0,0,6,Orthodox,180.34,187.96,185,0,1,0,33.76923077,0.576153846,0.615384615,0.923076923,0.35769230799999996,8,3,32,4,0,0,5,4,1,0,10,Southpaw,185.42,187.96,185,34,42,0,3,-4,-4,1,-8,-1,-3,-1,-5.08,0.0,-8,6.60576923,0.009615385,0.701923077,0,1,1.0,2.0,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,10.0,Blue,S-DEC,
Urijah Faber,Ivan Menjivar,-350,318,28.57142857,318.0,2/23/2013,"Anaheim, California, USA", USA,Red,False,Bantamweight,MALE,3,0,1,0,24.66666667,0.456666667,0.833333333,0.166666667,0.166666667,3,2,12,0,0,0,1,1,2,0,4,Orthodox,167.64,162.56,145,1,0,0,48.75,0.4125,0.25,1.0,0.345,1,2,15,2,0,0,1,0,1,0,2,Orthodox,167.64,170.18,135,33,30,1,1,2,2,0,-3,-2,1,1,0.0,-7.62,3,-24.08333333,0.583333333,-0.833333333,0,1,10.0,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,10.0,,,Red,SUB,Rear Naked Choke
Court McGee,Josh Neer,-370,330,27.02702703,330.0,2/23/2013,"Anaheim, California, USA", USA,Red,False,Welterweight,MALE,3,2,0,0,29.28571429,0.367857143,0.9285714290000001,0.7142857140000001,0.207857143,2,8,30,0,0,0,2,0,3,1,6,Orthodox,180.34,182.88,170,2,0,0,62.0,0.34600000000000003,0.6,1.8,0.298,3,2,14,1,0,0,1,0,2,0,3,Orthodox,180.34,190.5,170,28,29,0,0,-1,3,-6,16,-1,1,1,0.0,-7.62,-1,-32.71428571,0.32857142899999997,-1.085714286,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Josh Koscheck,Robbie Lawler,-310,280,32.25806452,280.0,2/23/2013,"Anaheim, California, USA", USA,Blue,False,Welterweight,MALE,3,2,0,0,23.0,0.41,0.0,1.857142857,0.642857143,3,3,14,0,0,0,2,2,0,0,4,Southpaw,180.34,187.96,170,1,0,0,19.52380952,0.4,0.333333333,1.761904762,0.51047619,5,6,47,1,0,1,5,6,3,0,15,Orthodox,177.8,185.42,170,35,30,-1,0,-2,-11,3,-33,-1,-4,-3,2.54,2.54,5,3.47619048,-0.333333333,0.095238095,0,1,,8.0,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,Red,KO/TKO,Punches
Brendan Schaub,Lavar Johnson,-105,-105,95.23809524,95.23809524,2/23/2013,"Anaheim, California, USA", USA,Red,False,Heavyweight,MALE,3,1,0,0,36.0,0.6033333329999999,0.0,0.0,0.0,2,1,3,0,0,0,0,2,0,0,2,Orthodox,193.04,208.28,240,2,0,0,22.85714286,0.467142857,0.0,0.571428571,0.071428571,4,3,11,1,0,0,1,3,0,0,4,Orthodox,193.04,198.12,245,29,35,1,0,-2,-2,2,-8,-1,-1,0,0.0,10.16,-6,13.14285714,0.0,-0.571428571,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Michael Chiesa,Anton Kuivanen,-190,175,52.63157895,175.0,2/23/2013,"Anaheim, California, USA", USA,Red,False,Lightweight,MALE,3,0,1,0,33.5,0.435,0.5,1.5,0.5,1,1,6,0,0,1,0,0,0,0,1,Orthodox,172.72,182.88,155,0,1,0,9.0,0.6,1.0,1.0,0.33,1,0,1,1,0,0,0,0,1,0,1,Southpaw,185.42,190.5,170,25,28,0,0,0,0,-1,5,-1,0,-1,-12.7,-7.62,-3,24.5,-0.5,0.5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke
Dennis Bermudez,Matt Grice,-410,365,24.390243899999998,365.0,2/23/2013,"Anaheim, California, USA", USA,Red,False,Featherweight,MALE,3,0,1,0,28.33333333,0.518333333,0.333333333,1.333333333,0.428333333,1,4,10,0,0,1,1,0,0,0,2,Orthodox,172.72,177.8,145,0,2,0,27.33333333,0.42666666700000005,1.0,3.333333333,0.793333333,2,1,5,1,0,0,1,0,1,0,2,Orthodox,167.64,167.64,155,26,31,0,-1,-1,0,-3,5,-1,0,-1,5.08,10.16,-5,1.0,-0.666666667,-2.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,
Sam Stout,Caros Fodor,150,-160,150.0,62.5,2/23/2013,"Anaheim, California, USA", USA,Red,False,Lightweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,193.04,155,1,0,0,56.57142857,0.265714286,0.071428571,0.428571429,0.14285714300000002,2,7,38,0,0,2,4,1,0,0,7,Orthodox,175.26,177.8,155,28,29,1,0,-2,-7,7,-38,0,-1,0,0.0,15.24,-1,-56.57142857,-0.071428571,-0.428571429,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,
Kenny Robertson,Brock Jardine,135,-145,135.0,68.96551724,2/23/2013,"Anaheim, California, USA", USA,Red,False,Welterweight,MALE,3,1,0,0,18.0,0.3,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,170,2,0,0,20.5,0.455,0.0,0.0,0.0,0,2,5,0,0,0,0,0,0,0,0,Orthodox,177.8,187.96,170,29,27,1,0,0,0,1,-2,0,0,0,2.54,-2.54,2,-2.5,0.0,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Kneebar
Jon Manley,Neil Magny,135,-145,135.0,68.96551724,2/23/2013,"Anaheim, California, USA", USA,Blue,False,Welterweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,190.5,203.2,170,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,190.5,170,26,25,0,0,0,0,0,0,0,0,0,5.08,12.7,1,0.0,0.0,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Nah-Shon Burrell,Yuri Villefort,145,-155,145.0,64.51612903,2/23/2013,"Anaheim, California, USA", USA,Red,False,Welterweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,170,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,170,23,21,0,0,0,0,0,0,0,0,0,2.54,0.0,2,0.0,0.0,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Renan Barao,Michael McDonald,-295,265,33.89830508,265.0,2/16/2013,"London, England, United Kingdom", United Kingdom,Red,True,Bantamweight,MALE,5,0,4,0,27.75,0.4275,0.75,1.5,0.375,4,0,8,0,0,1,1,2,0,0,4,Orthodox,175.26,177.8,135,0,4,0,68.0,0.38,0.25,1.5,0.2125,4,0,12,1,0,0,3,0,1,0,4,Orthodox,167.64,177.8,135,26,22,0,0,0,0,0,-4,-1,2,-1,7.62,0.0,4,-40.25,0.5,0.0,0,1,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,Red,SUB,Arm Triangle
Cub Swanson,Dustin Poirier,100,-110,100.0,90.90909091,2/16/2013,"London, England, United Kingdom", United Kingdom,Red,False,Featherweight,MALE,3,0,1,0,45.5,0.45833333299999995,0.833333333,1.166666667,0.313333333,4,1,14,0,0,0,2,0,3,0,5,Southpaw,175.26,182.88,155,0,3,0,28.5,0.4725,0.25,0.75,0.5,3,1,7,0,0,0,0,3,0,0,3,Orthodox,172.72,177.8,145,29,24,0,-2,1,2,0,7,0,-3,3,2.54,5.08,5,17.0,0.583333333,0.41666666700000005,0,1,7.0,6.0,,,,,,,,,,6.0,,,,,,,,,,,,,7.0,,,,Red,U-DEC,
Jimi Manuwa,Cyrille Diabate,-200,185,50.0,185.0,2/16/2013,"London, England, United Kingdom", United Kingdom,Red,False,Light Heavyweight,MALE,3,0,2,0,40.83333333,0.715,0.166666667,0.833333333,0.5,2,2,12,0,1,0,1,1,1,0,4,Southpaw,198.12,205.74,205,0,1,0,53.0,0.68,1.0,0.0,0.0,1,0,2,0,0,0,0,0,0,1,1,Orthodox,185.42,200.66,205,32,39,0,1,1,3,-2,10,0,0,1,12.7,5.08,-7,-12.16666667,-0.833333333,0.833333333,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,
Gunnar Nelson,Jorge Santiago,-330,300,30.303030300000003,300.0,2/16/2013,"London, England, United Kingdom", United Kingdom,Red,False,Welterweight,MALE,3,4,0,0,12.2,0.39399999999999996,0.6,0.4,0.4,1,4,11,0,0,0,0,1,0,0,1,Orthodox,185.42,187.96,170,0,1,0,9.0,0.9,2.0,1.0,1.0,1,0,1,0,0,0,0,0,1,0,1,Switch,180.34,182.88,170,24,32,-4,-1,0,0,-4,10,0,1,-1,5.08,5.08,-8,3.2,-1.4,-0.6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
James Te Huna,Ryan Jimmo,-230,190,43.47826087,190.0,2/16/2013,"London, England, United Kingdom", United Kingdom,Red,False,Light Heavyweight,MALE,3,0,1,0,2.0,1.0,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,185.42,185.42,205,0,3,0,35.4,0.6559999999999999,0.2,1.8,0.21600000000000003,3,1,9,0,0,0,1,3,0,0,4,Orthodox,187.96,190.5,185,31,31,0,-2,-2,-3,1,-8,0,-2,0,-2.54,-5.08,0,-33.4,-0.2,-1.8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Terry Etim,Renee Forte,-355,320,28.16901408,320.0,2/16/2013,"London, England, United Kingdom", United Kingdom,Blue,False,Lightweight,MALE,3,1,0,0,26.0,0.34,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,170.18,180.34,155,1,0,0,21.6,0.44799999999999995,1.0,0.3,0.133,4,4,22,0,0,0,1,1,4,0,6,Orthodox,185.42,185.42,155,27,25,0,0,-4,-6,3,-19,0,-1,-4,-15.24,-5.08,2,4.4,-1.0,-0.3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Paul Sass,Danny Castillo,-107,-103,93.45794393,97.08737864,2/16/2013,"London, England, United Kingdom", United Kingdom,Blue,False,Lightweight,MALE,3,1,0,0,33.5,0.536666667,0.166666667,2.666666667,0.39333333299999995,3,2,15,0,0,1,2,1,0,0,4,Orthodox,175.26,180.34,155,1,0,0,2.75,0.3675,2.25,0.25,0.25,3,1,4,0,0,0,0,0,3,0,3,Orthodox,182.88,185.42,155,24,33,0,0,0,1,-1,11,0,1,-3,-7.62,-5.08,-9,30.75,-2.083333333,2.416666667,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Andy Ogle,Josh Grispi,145,-155,145.0,64.51612903,2/16/2013,"London, England, United Kingdom", United Kingdom,Red,False,Featherweight,MALE,3,3,0,0,11.0,0.45333333299999995,0.666666667,2.0,0.34,0,3,7,0,0,0,0,0,0,0,0,Orthodox,180.34,187.96,145,1,0,0,52.0,0.49,0.0,1.0,0.09,0,1,3,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,145,24,24,-2,0,0,0,-2,4,0,0,0,7.62,12.7,0,-41.0,0.666666667,1.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Tom Watson,Stanislav Nedkov,-110,100,90.90909091,100.0,2/16/2013,"London, England, United Kingdom", United Kingdom,Red,False,Middleweight,MALE,3,1,0,0,23.5,0.405,0.0,0.0,0.0,1,1,4,0,0,0,0,1,0,0,1,Orthodox,180.34,180.34,205,1,0,0,65.0,0.51,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,185,30,31,0,0,1,1,0,1,0,1,0,-5.08,-5.08,-1,-41.5,0.0,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Knee
Vaughan Lee,Motonobu Tezuka,-127,117,78.74015748,117.0,2/16/2013,"London, England, United Kingdom", United Kingdom,Red,False,Bantamweight,MALE,3,1,0,0,22.0,0.29,0.0,2.0,0.16,0,1,3,0,0,0,0,0,0,0,0,Southpaw,170.18,167.64,135,1,0,0,17.0,0.46333333299999996,1.333333333,1.333333333,0.146666667,1,2,5,0,0,0,0,0,1,0,1,Orthodox,167.64,167.64,125,30,25,0,0,-1,-1,1,-2,0,0,-1,2.54,0.0,5,5.0,-1.333333333,0.666666667,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Phil Harris,Ulysses Gomez,185,-200,185.0,50.0,2/16/2013,"London, England, United Kingdom", United Kingdom,Red,False,Flyweight,MALE,3,1,0,0,16.0,0.37,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,167.64,167.64,125,1,0,0,10.0,0.17,0.0,2.0,0.66,0,1,2,0,0,0,0,0,0,0,0,Orthodox,162.56,162.56,125,29,29,0,0,0,0,0,-1,0,0,0,5.08,5.08,0,6.0,0.0,-2.0,0,1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,Blue,U-DEC,
Jose Aldo,Frankie Edgar,-175,165,57.14285714,165.0,2/2/2013,"Las Vegas, Nevada, USA", USA,Red,True,Featherweight,MALE,5,2,0,0,59.0,0.423846154,0.46153846200000004,3.230769231,0.295384615,5,4,47,6,0,0,6,2,1,0,9,Orthodox,167.64,172.72,145,0,3,0,52.0,0.446666667,0.333333333,1.6666666669999999,0.18333333300000001,3,0,11,3,0,0,2,1,0,0,3,Orthodox,170.18,177.8,145,26,31,-2,-3,2,6,-4,36,3,1,1,-2.54,-5.08,-5,7.0,0.128205129,1.5641025640000001,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Rashad Evans,Rogerio Nogueira,-525,450,19.04761905,450.0,2/2/2013,"Las Vegas, Nevada, USA", USA,Blue,False,Light Heavyweight,MALE,3,0,1,0,25.4,0.36,0.2,0.2,0.2,2,2,11,0,0,1,0,2,0,0,3,Southpaw,187.96,190.5,205,1,0,0,28.66666667,0.375333333,0.0,3.2,0.43200000000000005,5,3,44,4,1,3,3,5,0,0,12,Orthodox,182.88,190.5,205,33,36,1,1,-3,-9,1,-33,-4,-3,0,5.08,0.0,-3,-3.26666667,0.2,-3.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Alistair Overeem,Antonio Silva,-440,390,22.72727273,390.0,2/2/2013,"Las Vegas, Nevada, USA", USA,Blue,False,Heavyweight,MALE,3,0,1,0,8.0,0.625,0.0,0.0,0.0,1,1,2,0,0,0,0,1,0,0,1,Orthodox,193.04,203.2,264,0,1,0,19.0,0.79,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,193.04,203.2,265,32,33,0,0,0,0,-1,1,0,0,0,0.0,0.0,-1,-11.0,0.0,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches
Jon Fitch,Demian Maia,-171,161,58.47953216,161.0,2/2/2013,"Las Vegas, Nevada, USA", USA,Blue,False,Welterweight,MALE,3,0,2,0,18.73333333,0.496666667,0.933333333,1.9333333330000002,0.35466666700000005,5,4,34,1,0,0,4,1,6,0,11,Southpaw,185.42,182.88,170,0,1,0,36.70588235,0.49529411799999995,0.764705882,3.411764706,0.52,8,3,47,1,0,1,9,1,3,0,14,Orthodox,182.88,193.04,170,34,35,0,1,-3,-3,-1,-13,0,0,3,2.54,-10.16,-1,-17.97254902,0.168627451,-1.478431373,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Joseph Benavidez,Ian McCall,-210,190,47.61904762,190.0,2/2/2013,"Las Vegas, Nevada, USA", USA,Red,False,Flyweight,MALE,3,2,0,0,59.0,0.425,0.0,2.5,0.265,0,2,6,0,0,0,0,0,0,0,0,Orthodox,165.1,162.56,125,1,0,0,44.0,0.345,0.75,1.5,0.1225,3,1,13,1,0,0,2,1,0,0,3,Southpaw,162.56,165.1,125,28,28,-1,0,-3,-3,-1,-7,-1,-1,0,2.54,-2.54,0,15.0,-0.75,1.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Gleison Tibau,Evan Dunham,125,-135,125.0,74.07407407,2/2/2013,"Las Vegas, Nevada, USA", USA,Blue,False,Lightweight,MALE,3,1,0,0,57.55555556,0.391111111,1.333333333,1.4444444440000002,0.42,4,3,22,0,0,2,1,1,1,1,6,Southpaw,177.8,177.8,155,0,1,0,21.05882353,0.36529411799999995,0.8235294120000001,3.823529412,0.593529412,3,6,42,0,0,2,5,1,3,0,11,Southpaw,177.8,180.34,155,29,31,-1,-1,1,-5,3,-20,0,1,-2,0.0,-2.54,-2,36.49673203,0.509803921,-2.379084968,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,
Tyron Woodley,Jay Hieron,-160,150,62.5,150.0,2/2/2013,"Las Vegas, Nevada, USA", USA,Red,False,Welterweight,MALE,3,3,0,0,15.66666667,0.39333333299999995,1.0,3.0,0.25,0,3,7,0,0,0,0,0,0,0,0,Orthodox,182.88,190.5,170,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,187.96,170,30,36,-3,0,0,0,-3,7,0,0,0,7.62,2.54,-6,15.66666667,1.0,3.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch
