R_fighter,B_fighter,date,finish,finish_details
Julio Arce,Hakeem Dawodu,11/2/2019,S-DEC,
Zabit Magomedsharipov,Calvin Kattar,11/9/2019,U-DEC,
Alekander Volkov,Greg Hardy,11/9/2019,,
Zelim Imadaev,Danny Roberts,11/9/2019,KO/TKO,Punch
Khadis Ibragimov,Ed Herman,11/9/2019,U-DEC,
Ramazan Emeev,Rocco Martin,11/9/2019,,
Shamil Gamzatov,Klidson Abreu,11/9/2019,S-DEC,
Magomed Ankalaev,Dalcha Lungiambula,11/9/2019,KO/TKO,Kick
Rustam Khabilov,Sergey Khandozhko,11/9/2019,U-DEC,
Roman Kopylov,Karl Roberson,11/9/2019,SUB,Rear Naked Choke
Abubakar Nurmagomedov,David Zawada,11/9/2019,SUB,Triangle Choke
Alexander Yakovlev,Roosevelt Roberts,11/9/2019,U-DEC,
Jessica-Rose Clark,Pannie Kianzad,11/9/2019,U-DEC,
Grigorii Popov,Davey Grant,11/9/2019,,
Jan Blachowicz,Jacare Souza,11/16/2019,S-DEC,
Charles Oliveira,Jared Gordon,11/16/2019,KO/TKO,Punch
Antonio Arroyo,Andre Muniz,11/16/2019,U-DEC,
Markus Perez,Wellington Turman,11/16/2019,U-DEC,
Sergio Moraes,James Krause,11/16/2019,KO/TKO,Punch
Ricardo Ramos,Eduardo Garagorri,11/16/2019,SUB,Rear Naked Choke
Francisco Trinaldo,Bobby Green,11/16/2019,U-DEC,
Warlley Alves,Randy Brown,11/16/2019,SUB,Triangle Choke
Douglas Silva de Andrade,Renan Barao,11/16/2019,U-DEC,
Ariane Lipski,Isabela De Pauda,11/16/2019,,
Vanessa Melo,Tracy Cortez,11/16/2019,U-DEC,
Frankie Edgar,Chan Sung Jung,12/21/2019,KO/TKO,Punches
Volkan Oezdemir,Aleksandar Rakic,12/21/2019,S-DEC,
Dooho Choi,Charles Jourdain,12/21/2019,KO/TKO,Punches
Da Un Jung,Mike Rodriguez,12/21/2019,,
 Jun Yong Park,Marc-Andre Barriault,12/21/2019,,
Kyung Ho Kang,Liu Pingyuan,12/21/2019,S-DEC,
Ciryl Gane,Tanner Boser,12/21/2019,U-DEC,
Seungwoo Choi,Suman Mokhtarian,12/21/2019,,
Dong Hyun Ma,Omar Antonio Morales Ferrer,12/21/2019,,
Alexandre Pantoja,Matt Schnell,12/21/2019,KO/TKO,Punch
Raoni Barcelos,Said Nurmagomedov,12/21/2019,U-DEC,
Miranda Granger,Amanda Lemos,12/21/2019,SUB,Rear Naked Choke
Heili Alateng,Ryan Benoit,12/21/2019,S-DEC,
Kamaru Usman,Colby Covington,12/14/2019,KO/TKO,Punch
Max Holloway,Alexander Volkanovski,12/14/2019,U-DEC,
Amanda Nunes,Germaine de Randamie,12/14/2019,U-DEC,
Marlon Moraes,Jose Aldo,12/14/2019,S-DEC,
Peter Yan,Urijah Faber,12/14/2019,,
Geoff Neal,Mike Perry,12/14/2019,KO/TKO,Punches
Ketlen Vieira,Irene Aldana,12/14/2019,KO/TKO,Punch
Ian Heinisch,Omari Akhmedov,12/14/2019,U-DEC,
Matt Brown,Ben Saunders,12/14/2019,KO/TKO,Punches
Chase Hooper,Daniel Teymur,12/14/2019,KO/TKO,Elbows
Brandon Moreno,Kai Kara France,12/14/2019,,
Jessica Eye,Viviane Araujo,12/14/2019,U-DEC,
Punahele Soriano,Oskar Piechota,12/14/2019,KO/TKO,Punch
Alistair Overeem,Jairzinho Rozenstruik,12/7/2019,KO/TKO,Punch
Stefan Struve,Ben Rothwell,12/7/2019,KO/TKO,Punches
Aspen Ladd,Yana Kunitskaya,12/7/2019,KO/TKO,Punches
Rob Font,Ricky Simon,12/7/2019,U-DEC,
Thiago Alves,Tim Means,12/7/2019,SUB,Guillotine Choke
Billy Quarantillo,Jacob Kilburn,12/7/2019,SUB,Triangle Choke
Bryce Mitchell,Matt Sayles,12/7/2019,SUB,Other - Lock
Joe Solecki,Matt Wiman,12/7/2019,U-DEC,
Mallory Martin,Virna Jandiroba,12/7/2019,SUB,Rear Naked Choke
Makhmud Muradov,Trevor Smith,12/7/2019,KO/TKO,Punch
Henry Cejudo,Marlon Moraes,6/8/2019,KO/TKO,Punches
Valentina Shevchenko,Jessica Eye,6/8/2019,KO/TKO,Kick
Tony Ferguson,Donald Cerrone,6/8/2019,KO/TKO,
Jimmie Rivera,Petr Yan,6/8/2019,U-DEC,
Tai Tuivasa,Blagoy Ivanov,6/8/2019,U-DEC,
Tatiana Suarez,Nina Ansaroff,6/8/2019,U-DEC,
Aljamain Sterling,Pedro Munhoz,6/8/2019,U-DEC,
Karolina Kowalkiewicz,Alexa Grasso,6/8/2019,U-DEC,
Ricardo Lamas,Calvin Kattar,6/8/2019,KO/TKO,Punch
Yan Xiaonan,Angela Hill,6/8/2019,,
Bevon Lewis,Darren Stewart,6/8/2019,U-DEC,
Eddie Wineland,Grigorii Popov,6/8/2019,,
Katlyn Chookagian,Joanne Calderwood,6/8/2019,U-DEC,
Alexander Gustafsson,Anthony Smith,6/1/2019,SUB,Rear Naked Choke
Jimi Manuwa,Aleksandar Rakic,6/1/2019,KO/TKO,Kick
Makwan Amirkhani,Chris Fishgold,6/1/2019,SUB,Anaconda Choke
Damir Hadzovic,Christos Giagos,6/1/2019,U-DEC,
Daniel Teymur,Sung Bin Jo,6/1/2019,U-DEC,
Rostem Akman,Sergey Khandozhko,6/1/2019,U-DEC,
Tonya Evinger,Lina Lansberg,6/1/2019,U-DEC,
Stevie Ray,Leonardo Santos,6/1/2019,KO/TKO,Punch
Nick Hein,Frank Camacho,6/1/2019,KO/TKO,Punches
Bea Malecki,Duda Santana,6/1/2019,SUB,Rear Naked Choke
Darko Stosic,Devin Clark,6/1/2019,U-DEC,
Joel Alvarez,Danilo Belluardo,6/1/2019,KO/TKO,Punches
Rafael Dos Anjos,Kevin Lee,5/18/2019,SUB,Arm Triangle
Antonio Carlos Junior,Ian Heinisch,5/18/2019,U-DEC,
Megan Anderson,Felicia Spencer,5/18/2019,SUB,Rear Naked Choke
Vicente Luque,Derrick Krantz,5/18/2019,KO/TKO,Punch
Charles Oliveira,Nik Lentz,5/18/2019,KO/TKO,Punch
Davi Ramos,Austin Hubbard,5/18/2019,U-DEC,
Aspen Ladd,Sijara Eubanks,5/18/2019,U-DEC,
Desmond Green,Charles Jourdain,5/18/2019,U-DEC,
Danny Roberts,Michel Pereira,5/18/2019,KO/TKO,Flying Knee
Michael Trizano,Grant Dawson,5/18/2019,SUB,Rear Naked Choke
Patrick Cummins,Ed Herman,5/18/2019,KO/TKO,Knee
Zak Cummings,Trevin Giles,5/18/2019,SUB,Guillotine Choke
Julio Arce,Julian Erosa,5/18/2019,KO/TKO,Kick
Rose Namajunas,Jessica Andrade,5/11/2019,KO/TKO,Slam
Jared Cannonier,Anderson Silva,5/11/2019,KO/TKO,Kick
Jose Aldo,Alexander Volkanovski,5/11/2019,U-DEC,
Thiago Alves,Laureano Staropoli,5/11/2019,U-DEC,
Irene Aldana,Bethe Correia,5/11/2019,SUB,Armbar
Rogerio Nogueira,Ryan Spann,5/11/2019,KO/TKO,Punch
Thiago Moises,Kurt Holobaugh,5/11/2019,U-DEC,
Warlley Alves,Sergio Moraes,5/11/2019,KO/TKO,Punch
BJ Penn,Clay Guida,5/11/2019,U-DEC,
Luana Carolina,Priscila Cachoeira,5/11/2019,U-DEC,
Raoni Barcelos,Carlos Huachin,5/11/2019,KO/TKO,Elbows
Talita Bernardo,Viviane Araujo,5/11/2019,KO/TKO,Punch
Al Iaquinta,Donald Cerrone,5/4/2019,U-DEC,
Derek Brunson,Elias Theodorou,5/4/2019,U-DEC,
Cub Swanson,Shane Burgos,5/4/2019,S-DEC,
Brad Katona,Merab Dvalishvili,5/4/2019,U-DEC,
Walt Harris,Serghei Spivac,5/4/2019,KO/TKO,Knees
Marc-Andre Barriault,Andrew Sanchez,5/4/2019,U-DEC,
Macy Chiasson,Sarah Moras,5/4/2019,KO/TKO,Punches
Aiemann Zahabi,Vince Morales,5/4/2019,U-DEC,
Nordine Taleb,Kyle Prepolec,5/4/2019,U-DEC,
Kyle Nelson,Matt Sayles,5/4/2019,SUB,Arm Triangle
Arjan Bhullar,Juan Adams,5/4/2019,U-DEC,
Mitch Gagnon,Cole Smith,5/4/2019,U-DEC,
Jacare Souza,Jack Hermansson,4/27/2019,U-DEC,
Greg Hardy,Dmitrii Smoliakov,4/27/2019,KO/TKO,Punches
Alex Oliveira,Mike Perry,4/27/2019,U-DEC,
Glover Teixeira,Ion Cutelaba,4/27/2019,SUB,Rear Naked Choke
John Lineker,Cory Sandhagen,4/27/2019,S-DEC,
Roosevelt Roberts,Thomas Gifford,4/27/2019,U-DEC,
Ben Saunders,Takashi Sato,4/27/2019,KO/TKO,Elbows
Andrei Arlovski,Augusto Sakai,4/27/2019,S-DEC,
Carla Esparza,Virna Jandiroba,4/27/2019,U-DEC,
Gilbert Burns,Mike Davis,4/27/2019,SUB,Rear Naked Choke
Jim Miller,Jason Gonzalez,4/27/2019,SUB,Rear Naked Choke
Angela Hill,Jodie Esquibel,4/27/2019,U-DEC,
Court McGee,Dhiego Lima,4/27/2019,S-DEC,
Alistair Overeem,Aleksei Oleinik,4/20/2019,KO/TKO,Knee
Islam Makhachev,Arman Tsarukyan,4/20/2019,U-DEC,
Sergei Pavlovich,Marcelo Golm,4/20/2019,KO/TKO,Punches
Roxanne Modafferi,Antonina Shevchenko,4/20/2019,S-DEC,
Krzysztof Jotko,Alen Amedovski,4/20/2019,U-DEC,
Movsar Evloev,Seungwoo Choi,4/20/2019,,
Sultan Aliev,Keita Nakamura,4/20/2019,U-DEC,
Alexander Yakovlev,Alex Da Silva,4/20/2019,SUB,Other - Choke
Marcin Tybura,Shamil Abdurakhimov,4/20/2019,KO/TKO,Punches
Gadzhimurad Antigulov,Michal Oleksiejczuk,4/20/2019,KO/TKO,Punch
Magomed Mustafaev,Rafael Fiziev,4/20/2019,KO/TKO,Spinning Back Kick
Max Holloway,Dustin Poirier,4/13/2019,U-DEC,
Kelvin Gastelum,Israel Adesanya,4/13/2019,U-DEC,
Eryk Anders,Khalil Rountree Jr.,4/13/2019,U-DEC,
Alan Jouban,Dwight Grant,4/13/2019,S-DEC,
Ovince Saint Preux,Nikita Krylov,4/13/2019,SUB,Rear Naked Choke
Jalin Turner,Matt Frevola,4/13/2019,U-DEC,
Wilson Reis,Alexandre Pantoja,4/13/2019,KO/TKO,Punch
Max Griffin,Zelim Imadaev,4/13/2019,M-DEC,
Boston Salmon,Khalid Taha,4/13/2019,KO/TKO,Punch
Curtis Millender,Belal Muhammad,4/13/2019,U-DEC,
Montel Jackson,Andre Soukhamthath,4/13/2019,U-DEC,
Lauren Mueller,Poliana Botelho,4/13/2019,U-DEC,
Brandon Davis,Randy Costa,4/13/2019,SUB,Rear Naked Choke
Edson Barboza,Justin Gaethje,3/30/2019,KO/TKO,Punch
David Branch,Jack Hermansson,3/30/2019,SUB,Guillotine Choke
Josh Emmett,Michael Johnson,3/30/2019,KO/TKO,Punch
Karolina Kowalkiewicz,Michelle Waterson,3/30/2019,U-DEC,
Kennedy Nzechukwu,Paul Craig,3/30/2019,SUB,Triangle Choke
Sodiq Yusuff,Sheymon Moraes,3/30/2019,U-DEC,
Marina Rodriguez,Jessica Aguilar,3/30/2019,U-DEC,
Ross Pearson,Desmond Green,3/30/2019,KO/TKO,Punches
Enrique Barzola,Kevin Aguilar,3/30/2019,U-DEC,
Kevin Holland,Gerald Meerschaert,3/30/2019,S-DEC,
Ray Borg,Casey Kenney,3/30/2019,U-DEC,
Sabina Mazo,Maryna Moroz,3/30/2019,U-DEC,
Alex Perez,Mark De La Rosa,3/30/2019,U-DEC,
Stephen Thompson,Anthony Pettis,3/23/2019,KO/TKO,Punch
Curtis Blaydes,Justin Willis,3/23/2019,U-DEC,
John Makdessi,Jesus Pinedo,3/23/2019,U-DEC,
Jussier Formiga,Deiveson Figueiredo,3/23/2019,U-DEC,
Luis Pena,Steven Peterson,3/23/2019,U-DEC,
Maycee Barber,JJ Aldrich,3/23/2019,KO/TKO,Punches
Bryce Mitchell,Bobby Moffett,3/23/2019,U-DEC,
Marlon Vera,Frankie Saenz,3/23/2019,KO/TKO,Punch
Alexis Davis,Jennifer Maia,3/23/2019,U-DEC,
Randa Markos,Angela Hill,3/23/2019,SUB,Armbar
Ryan MacDonald,Chris Gutierrez,3/23/2019,U-DEC,
Eric Shelton,Jordan Espinosa,3/23/2019,U-DEC,
Darren Till,Jorge Masvidal,3/16/2019,KO/TKO,Punch
Leon Edwards,Gunnar Nelson,3/16/2019,S-DEC,
Volkan Oezdemir,Dominick Reyes,3/16/2019,S-DEC,
Nathaniel Wood,Jose Quinonez,3/16/2019,SUB,Rear Naked Choke
Danny Roberts,Claudio Silva,3/16/2019,SUB,Armbar
Jack Marshman,John Phillips,3/16/2019,S-DEC,
Arnold Allen,Jordan Rinaldi,3/16/2019,U-DEC,
Marc Diakiese,Joe Duffy,3/16/2019,U-DEC,
Nicolae Negumereanu,Saparbeg Safarov,3/16/2019,U-DEC,
Danny Henry,Dan Ige,3/16/2019,SUB,Rear Naked Choke
Molly McCann,Priscila Cachoeira,3/16/2019,U-DEC,
Mike Grundy,Nad Narimani,3/16/2019,KO/TKO,Punches
Derrick Lewis,Junior Dos Santos,3/9/2019,KO/TKO,Punches
Elizeu Zaleski dos Santos,Curtis Millender,3/9/2019,SUB,Rear Naked Choke
Tim Means,Niko Price,3/9/2019,KO/TKO,Punch
Blagoy Ivanov,Ben Rothwell,3/9/2019,U-DEC,
Beneil Dariush,Drew Dober,3/9/2019,SUB,Armbar
Tim Boetsch,Omari Akhmedov,3/9/2019,U-DEC,
Anthony Rocco Martin,Sergio Moraes,3/9/2019,U-DEC,
Marion Reneau,Yana Kunitskaya,3/9/2019,U-DEC,
Grant Dawson,Julian Erosa,3/9/2019,U-DEC,
Maurice Greene,Jeff Hughes,3/9/2019,S-DEC,
Louis Smolka,Matt Schnell,3/9/2019,SUB,Triangle Choke
Alex Morono,Zak Ottow,3/9/2019,KO/TKO,Elbows
Alex White,Dan Moret,3/9/2019,U-DEC,
Jon Jones,Anthony Smith,3/2/2019,U-DEC,
Tyron Woodley,Kamaru Usman,3/2/2019,U-DEC,
Robbie Lawler,Ben Askren,3/2/2019,SUB,Other - Choke
Tecia Torres,Weili Zhang,3/2/2019,U-DEC,
Cody Garbrandt,Pedro Munhoz,3/2/2019,KO/TKO,Punch
Jeremy Stephens,Zabit Magomedsharipov,3/2/2019,U-DEC,
Misha Cirkunov,Johnny Walker,3/2/2019,KO/TKO,Flying Knee
Cody Stamann,Alejandro Perez,3/2/2019,U-DEC,
Diego Sanchez,Mickey Gall,3/2/2019,KO/TKO,Punches
Edmen Shahbazyan,Charles Byrd,3/2/2019,KO/TKO,Elbows
Gina Mazany,Macy Chiasson,3/2/2019,KO/TKO,Punch
Polyana Viana,Hannah Cifers,3/2/2019,S-DEC,
Jan Blachowicz,Thiago Santos,2/23/2019,KO/TKO,Punch
Stefan Struve,Marcos Rogerio de Lima,2/23/2019,SUB,Arm Triangle
Gian Villante,Michal Oleksiejczuk,2/23/2019,KO/TKO,Punch
Liz Carmouche,Lucie Pudilova,2/23/2019,U-DEC,
John Dodson,Petr Yan,2/23/2019,U-DEC,
Magomed Ankalaev,Klidson Abreu,2/23/2019,U-DEC,
Dwight Grant,Carlo Pedersoli,2/23/2019,,
Daniel Teymur,Chris Fishgold,2/23/2019,SUB,Rear Naked Choke
Veronica Macedo,Gillian Robertson,2/23/2019,SUB,Rear Naked Choke
Damir Hadzovic,Polo Reyes,2/23/2019,,
Michel Prazeres,Ismail Naurdiev,2/23/2019,U-DEC,
Rustam Khabilov,Diego Ferreira,2/23/2019,U-DEC,
Damir Ismagulov,Joel Alvarez,2/23/2019,U-DEC,
Francis Ngannou,Cain Velasquez,2/17/2019,KO/TKO,Punches
James Vick,Paul Felder,2/17/2019,U-DEC,
Cortney Casey,Cynthia Calvillo,2/17/2019,U-DEC,
Alex Caceres,Kron Gracie,2/17/2019,SUB,Rear Naked Choke
Vicente Luque,Bryan Barberena,2/17/2019,KO/TKO,Knee
Andre Fili,Myles Jury,2/17/2019,U-DEC,
Jimmie Rivera,Aljamain Sterling,2/17/2019,U-DEC,
Benito Lopez,Manny Bermudez,2/17/2019,SUB,Guillotine Choke
Ashlee Evans-Smith,Andrea Lee,2/17/2019,U-DEC,
Scott Holtzman,Nik Lentz,2/17/2019,U-DEC,
Renan Barao,Luke Sanders,2/17/2019,KO/TKO,Punch
Alexandra Albu,Emily Whitmire,2/17/2019,,
Israel Adesanya,Anderson Silva,2/9/2019,U-DEC,
Lando Vannata,Marcos Mariano,2/9/2019,SUB,Kimura
Rani Yahya,Ricky Simon,2/9/2019,U-DEC,
Montana De La Rosa,Nadia Kassem,2/9/2019,SUB,Armbar
Jimmy Crute,Sam Alvey,2/9/2019,KO/TKO,Punches
Devonte Smith,Dong Hyun Ma,2/9/2019,KO/TKO,Punch
Shane Young,Austin Arnett,2/9/2019,U-DEC,
Kai Kara-France,Raulian Paiva,2/9/2019,S-DEC,
Teruto Ishihara,Kyung Ho Kang,2/9/2019,SUB,Rear Naked Choke
Callan Potter,Jalin Turner,2/9/2019,KO/TKO,Kick
Wuliji Buren,Jonathan Martinez,2/9/2019,U-DEC,
Raphael Assuncao,Marlon Moraes,2/2/2019,SUB,Guillotine Choke
Jose Aldo,Renato Moicano,2/2/2019,KO/TKO,Punches
Demian Maia,Lyman Good,2/2/2019,SUB,Rear Naked Choke
Charles Oliveira,David Teymur,2/2/2019,SUB,Anaconda Choke
Johnny Walker,Justin Ledet,2/2/2019,KO/TKO,Spinning Back Fist
Livinha Souza,Sarah Frota,2/2/2019,S-DEC,
Markus Perez,Anthony Hernandez,2/2/2019,SUB,Anaconda Choke
Mara Romero Borella,Taila Santos,2/2/2019,S-DEC,
Thiago Alves,Max Griffin,2/2/2019,S-DEC,
Junior Albini,Jairzinho Rozenstruik,2/2/2019,KO/TKO,Kick
Geraldo de Freitas,Felipe Colares,2/2/2019,U-DEC,
Ricardo Ramos,Said Nurmagomedov,2/2/2019,KO/TKO,Spinning Back Kick
Magomed Bibulatov,Rogerio Bontorin,2/2/2019,S-DEC,
Henry Cejudo,TJ Dillashaw,1/19/2019,KO/TKO,Punches
Greg Hardy,Allen Crowder,1/19/2019,DQ,
Gregor Gillespie,Yancy Medeiros,1/19/2019,KO/TKO,Punches
Joseph Benavidez,Dustin Ortiz,1/19/2019,U-DEC,
Paige VanZant,Rachael Ostovich,1/19/2019,SUB,Armbar
Glover Teixeira,Karl Roberson,1/19/2019,SUB,Arm Triangle
Alexander Hernandez,Donald Cerrone,1/19/2019,KO/TKO,Kick
Joanne Calderwood,Ariane Lipski,1/19/2019,U-DEC,
Alonzo Menifield,Vinicius Moreira,1/19/2019,KO/TKO,Punch
Cory Sandhagen,Mario Bautista,1/19/2019,SUB,Armbar
Dennis Bermudez,Te Edwards,1/19/2019,U-DEC,
Belal Muhammad,Geoff Neal,1/19/2019,U-DEC,
Kyle Stewart,Chance Rencountre,1/19/2019,SUB,Rear Naked Choke
Jon Jones,Alexander Gustafsson,12/29/2018,KO/TKO,Punches
Cris Cyborg,Amanda Nunes,12/29/2018,,
Carlos Condit,Michael Chiesa,12/29/2018,SUB,Kimura
Ilir Latifi,Corey Anderson,12/29/2018,U-DEC,
Chad Mendes,Alexander Volkanovski,12/29/2018,KO/TKO,Punches
Cat Zingano,Megan Anderson,12/29/2018,KO/TKO,Kick
Douglas Silva de Andrade,Petr Yan,12/29/2018,KO/TKO,
BJ Penn,Ryan Hall,12/29/2018,SUB,Heel Hook
Nathaniel Wood,Andre Ewell,12/29/2018,SUB,Rear Naked Choke
Uriah Hall,Bevon Lewis,12/29/2018,KO/TKO,Punch
Curtis Millender,Siyar Bahadurzada,12/29/2018,U-DEC,
Brian Kelleher,Montel Jackson,12/29/2018,SUB,D'Arce Choke
Kevin Lee,Al Iaquinta,12/15/2018,U-DEC,
Edson Barboza,Dan Hooker,12/15/2018,KO/TKO,Punches
Rob Font,Sergio Pettis,12/15/2018,U-DEC,
Jim Miller,Charles Oliveira,12/15/2018,SUB,Rear Naked Choke
Zak Ottow,Dwight Grant,12/15/2018,S-DEC,
Bobby Green,Drakkar Klose,12/15/2018,U-DEC,
Jared Gordon,Joaquim Silva,12/15/2018,KO/TKO,Punches
Gerald Meerschaert,Jack Hermansson,12/15/2018,SUB,Guillotine Choke
Trevor Smith,Zak Cummings,12/15/2018,U-DEC,
Dan Ige,Jordan Griffin,12/15/2018,U-DEC,
Adam Milstead,Mike Rodriguez,12/15/2018,KO/TKO,Knee
Chris de la Rocha,Juan Adams,12/15/2018,KO/TKO,Knee
Max Holloway,Brian Ortega,12/8/2018,KO/TKO,
Valentina Shevchenko,Joanna Jedrzejczyk,12/8/2018,U-DEC,
Alex Oliveira,Gunnar Nelson,12/8/2018,SUB,Rear Naked Choke
Hakeem Dawodu,Kyle Bochniak,12/8/2018,S-DEC,
Jimi Manuwa,Thiago Santos,12/8/2018,KO/TKO,Punch
Claudia Gadelha,Nina Ansaroff,12/8/2018,U-DEC,
Olivier Aubin-Mercier,Gilbert Burns,12/8/2018,U-DEC,
Katlyn Chookagian,Jessica Eye,12/8/2018,S-DEC,
Elias Theodorou,Eryk Anders,12/8/2018,S-DEC,
Brad Katona,Matthew Lopez,12/8/2018,U-DEC,
Chad Laprise,Dhiego Lima,12/8/2018,KO/TKO,Punch
Diego Ferreira,Kyle Nelson,12/8/2018,KO/TKO,Punches
Devin Clark,Aleksandar Rakic,12/8/2018,KO/TKO,Spinning Back Fist
Junior Dos Santos,Tai Tuivasa,12/1/2018,KO/TKO,Punches
Mauricio Rua,Tyson Pedro,12/1/2018,KO/TKO,Punches
Mark Hunt,Justin Willis,12/1/2018,U-DEC,
Jake Matthews,Anthony Rocco Martin,12/1/2018,SUB,Anaconda Choke
Suman Mokhtarian,Sodiq Yusuff,12/1/2018,KO/TKO,Punches
Jimmy Crute,Paul Craig,12/1/2018,SUB,Kimura
Yushin Okami,Aleksei Kunchenko,12/1/2018,U-DEC,
Wilson Reis,Ben Nguyen,12/1/2018,U-DEC,
Keita Nakamura,Salim Touahri,12/1/2018,S-DEC,
Elias Garcia,Kai Kara-France,12/1/2018,U-DEC,
Mizuto Hirota,Christos Giagos,12/1/2018,U-DEC,
Alex Gorgees,Damir Ismagulov,12/1/2018,U-DEC,
Rafael Dos Anjos,Kamaru Usman,11/30/2018,U-DEC,
Juan Espino,Justin Frazier,11/30/2018,SUB,Armbar
Pannie Kianzad,Macy Chiasson,11/30/2018,SUB,Rear Naked Choke
Pedro Munhoz,Bryan Caraway,11/30/2018,KO/TKO,Kick
Darren Stewart,Edmen Shahbazyan,11/30/2018,S-DEC,
Ji Yeon Kim,Antonina Shevchenko,11/30/2018,U-DEC,
Rick Glenn,Kevin Aguilar,11/30/2018,U-DEC,
Joseph Benavidez,Alex Perez,11/30/2018,KO/TKO,Punches
Maurice Greene,Michel Batista,11/30/2018,SUB,Triangle Choke
Julija Stoliarenko,Leah Letson,11/30/2018,S-DEC,
Roosevelt Roberts,Darrell Horcher,11/30/2018,SUB,Guillotine Choke
Tim Means,Ricky Rainey,11/30/2018,KO/TKO,Punches
Raoni Barcelos,Chris Gutierrez,11/30/2018,SUB,Rear Naked Choke
Curtis Blaydes,Francis Ngannou,11/24/2018,KO/TKO,Punch
Alistair Overeem,Sergei Pavlovich,11/24/2018,KO/TKO,Punches
Song Yadong,Vince Morales,11/24/2018,U-DEC,
Li Jingliang,David Zawada,11/24/2018,,
Song Kenan,Alex Morono,11/24/2018,,
Wu Yanan,Lauren Mueller,11/24/2018,,
Hu Yaozong,Rashad Coulter,11/24/2018,U-DEC,
Weili Zhang,Jessica Aguilar,11/24/2018,SUB,Armbar
Liu Pingyuan,Martin Day,11/24/2018,S-DEC,
Yan Xiaonan,Syuri Kondo,11/24/2018,,
Kevin Holland,John Phillips,11/24/2018,SUB,Rear Naked Choke
Su Mudaerji,Louis Smolka,11/24/2018,SUB,Armbar
Neil Magny,Santiago Ponzinibbio,11/17/2018,KO/TKO,Punch
Ricardo Lamas,Darren Elkins,11/17/2018,KO/TKO,Elbows
Khalil Rountree Jr.,Johnny Walker,11/17/2018,KO/TKO,Elbow
Cezar Ferreira,Ian Heinisch,11/17/2018,U-DEC,
Guido Cannetti,Marlon Vera,11/17/2018,SUB,Rear Naked Choke
Cynthia Calvillo,Poliana Botelho,11/17/2018,SUB,Rear Naked Choke
Michel Prazeres,Bartosz Fabinski,11/17/2018,SUB,Guillotine Choke
Alexandre Pantoja,Ulka Sasaki,11/17/2018,,
Humberto Bandenay,Austin Arnett,11/17/2018,U-DEC,
Laureano Staropoli,Hector Aldana,11/17/2018,U-DEC,
Devin Powell,Jesus Pinedo,11/17/2018,U-DEC,
Nad Narimani,Anderson Dos Santos,11/17/2018,U-DEC,
Chan Sung Jung,Yair Rodriguez,11/10/2018,KO/TKO,Elbow
Donald Cerrone,Mike Perry,11/10/2018,SUB,Armbar
Raquel Pennington,Germaine de Randamie,11/10/2018,U-DEC,
Beneil Dariush,Thiago Moises,11/10/2018,U-DEC,
Maycee Barber,Hannah Cifers,11/10/2018,KO/TKO,Punches
Michael Trizano,Luis Pena,11/10/2018,S-DEC,
Ashley Yoder,Amanda Cooper,11/10/2018,S-DEC,
Chas Skelly,Bobby Moffett,11/10/2018,Overturned,D'Arce Choke
Davi Ramos,John Gunther,11/10/2018,SUB,Rear Naked Choke
Devonte Smith,Julian Erosa,11/10/2018,KO/TKO,Punches
Joseph Morales,Eric Shelton,11/10/2018,S-DEC,
Mark De La Rosa,Joby Sanchez,11/10/2018,S-DEC,
Daniel Cormier,Derrick Lewis,11/3/2018,SUB,Rear Naked Choke
Chris Weidman,Jacare Souza,11/3/2018,KO/TKO,Punches
David Branch,Jared Cannonier,11/3/2018,KO/TKO,Punches
Karl Roberson,Jack Marshman,11/3/2018,U-DEC,
Derek Brunson,Israel Adesanya,11/3/2018,KO/TKO,Punches
Jason Knight,Jordan Rinaldi,11/3/2018,U-DEC,
Sijara Eubanks,Roxanne Modafferi,11/3/2018,U-DEC,
Julio Arce,Sheymon Moraes,11/3/2018,S-DEC,
Lyman Good,Ben Saunders,11/3/2018,KO/TKO,Punches
Shane Burgos,Kurt Holobaugh,11/3/2018,SUB,Armbar
Adam Wieczorek,Marcos Rogerio de Lima,11/3/2018,U-DEC,
Volkan Oezdemir,Anthony Smith,10/27/2018,SUB,Rear Naked Choke
Michael Johnson,Artem Lobov,10/27/2018,U-DEC,
Misha Cirkunov,Patrick Cummins,10/27/2018,SUB,Arm Triangle
Andre Soukhamthath,Jonathan Martinez,10/27/2018,U-DEC,
Gian Villante,Ed Herman,10/27/2018,S-DEC,
Alex Garcia,Court McGee,10/27/2018,U-DEC,
Nordine Taleb,Sean Strickland,10/27/2018,KO/TKO,Punch
Thibault Gouti,Nasrat Haqparast,10/27/2018,U-DEC,
Calvin Kattar,Chris Fishgold,10/27/2018,KO/TKO,Punch
Sarah Moras,Talita Bernardo,10/27/2018,U-DEC,
Te Edwards,Don Madge,10/27/2018,KO/TKO,Kick
Arjan Bhullar,Marcelo Golm,10/27/2018,U-DEC,
Stevie Ray,Jessin Ayari,10/27/2018,U-DEC,
Khabib Nurmagomedov,Conor McGregor,10/6/2018,SUB,Neck Crank
Tony Ferguson,Anthony Pettis,10/6/2018,KO/TKO,
Ovince Saint Preux,Dominick Reyes,10/6/2018,U-DEC,
Derrick Lewis,Alexander Volkov,10/6/2018,KO/TKO,Punches
Michelle Waterson,Felice Herrig,10/6/2018,U-DEC,
Sergio Pettis,Jussier Formiga,10/6/2018,U-DEC,
